run,p.air.att.ingress_loss,p.air.att.approach_loss,p.air.att.suppression,p.air.att.interdiction,p.air.att.cas,p.mass.aircraft,p.mass.capacity,p.mass.dz_loss,p.mass.reserve_aircraft,p.mass.reserve_capacity,p.mass.reserve_dz,p.mass.t_reserve,p.hold.strength,p.hold.quality,p.hold.dug_in,p.hold.base_hazard,p.hold.ammo_out_h,p.hold.decision_h,p.hold.comms_loss,p.hold.fog,p.hold.night_moves,p.response.t_ca,p.response.strength,p.response.commit_h,p.response.withdraw_ratio,p.denial.obstacles0,p.denial.t_fires,p.denial.fire_intensity,p.denial.crater_rate,p.denial.demolish_rate,p.risk.tolerance,p.risk.land_contested,p.ctx.aircraft,p.ctx.troops_per_aircraft,p.ctx.wave1_t,p.ctx.wave2_t,p.ctx.loiter_h,p.ctx.t_relief,p.ctx.relief_strength,p.ctx.night_limited_air,p.ctx.wreck_obstacle,p.mech.kill_rate,p.mech.ratio_coeff,p.mech.casualty_coeff,p.mech.ammo_hazard,p.mech.go_width,p.mech.info_lag_h,p.mech.contested_risk,p.doctrine.hasty_defense,p.doctrine.clear_rate,m.landed,m.t_airbridge,m.airbridge,m.t_first_landing,m.transports_lost,m.t_control,m.attacker_ever_controls,m.attacker_lost_control,m.attacker_holds_end,m.defender_retakes,m.runway_end,m.losses_attacker,m.losses_defender
0,0.0415007511590903,0.02761230767085189,0.0936036285034767,0.043079449261425304,1.001477365518012,20.0,15.0,0.08028471612872731,0.0,12.0,0.0,30.0,200.36609486002243,0.5059791497131905,1.3,0.02118913518617054,1.691188816256289,0.0,0.0,0.0,0.0,5.681579332769701,884.7872768291168,8.775265900806662,2.0,0.5913939804899462,6.352856778416005,0.6228847334657311,0.09229564311553229,0.5296040839102953,0.0464554525984166,0.0,18.0,55.0,3.9294286709414834,27.981577110741583,1.5,22.04174847798418,1500.0,0.0,0.02,0.01,0.1,0.3,2.0,0.02,0.0,0.35,1.2,0.15,990.0,4.25,True,4.25,0,1.75,True,True,True,True,0.0,242.0,246.0
1,0.07998626559425881,0.03044747144607205,0.0809257275802841,0.12363258244704947,1.0712274540492481,20.0,15.0,0.047097306375587136,0.0,12.0,0.0,30.0,211.9290964402444,0.6536942847839939,1.3,0.01593024067101552,2.9939213008504355,0.0,0.0,0.0,0.0,5.518650272996592,806.7370216273816,13.071533161788722,2.0,0.6179345486761592,6.400603573055619,0.8282349125800998,0.10827136283599786,0.4461780152962841,0.06273194384474046,0.0,18.0,55.0,4.009230942096353,25.404362524147388,1.5,24.833341436671088,1500.0,0.0,0.02,0.01,0.1,0.3,2.0,0.02,0.0,0.35,1.2,0.15,990.0,4.75,True,4.75,0,3.0,True,False,True,False,0.0,5.999999999999943,11.0
2,0.09352833432107373,0.025438363605133903,0.06130084131738714,0.004521261444544439,1.0330616944951656,20.0,15.0,0.030612894239594998,0.0,12.0,0.0,30.0,189.08036487475675,0.5995246843168265,1.3,0.01229013939592181,2.2713654539043886,0.0,0.0,0.0,0.0,6.607713325311693,651.3113548310728,11.864963034481704,2.0,0.7799495257224504,6.6669847478470965,0.9520550168305457,0.0992283968195132,0.30341136076109043,0.055146322679013066,0.0,18.0,55.0,4.450586815668968,25.37569163444882,1.5,23.67374156246776,1500.0,0.0,0.02,0.01,0.1,0.3,2.0,0.02,0.0,0.35,1.2,0.15,962.5,5.0,True,5.0,1,2.0,True,True,True,False,0.0,190.99999999999991,175.0
3,0.06088363658469157,0.04378128981834738,0.17180637838675805,0.12544103519330582,1.0181613983717615,20.0,15.0,0.0579021168687535,0.0,12.0,0.0,30.0,191.85153324733642,0.5857091582892944,1.3,0.019842452848349287,2.8116038262647134,0.0,0.0,0.0,0.0,5.566451149148161,721.4607577709594,8.60192419232077,2.0,0.5080065763043673,6.351398221460431,0.7493701215439472,0.06058810897034237,0.3946696161898751,0.07987830713669145,0.0,18.0,55.0,5.732555474411785,24.904567290358294,1.5,27.215682477452603,1500.0,0.0,0.02,0.01,0.1,0.3,2.0,0.02,0.0,0.35,1.2,0.15,0.0,,False,,0,3.0,True,True,True,True,0.0,111.0,120.0
4,0.09721563211988436,0.059951642195574625,0.1688379093954548,0.027316221645984694,1.0566544035484253,20.0,15.0,0.08043641496083007,0.0,12.0,0.0,30.0,201.03261962160414,0.6561941362573528,1.3,0.016101124253577615,2.0847181101158627,0.0,0.0,0.0,0.0,6.1866223227003365,657.614384502079,10.605043722636552,2.0,0.7048833550957472,5.510309162399524,0.9697394996474655,0.06817761226918531,0.4412393359290105,0.05745246141292516,0.0,18.0,55.0,3.519658396544108,25.260143332392026,1.5,26.23059652882082,1500.0,0.0,0.02,0.01,0.1,0.3,2.0,0.02,0.0,0.35,1.2,0.15,0.0,,False,,0,3.0,True,True,True,True,0.0,89.0,90.0
5,0.06259918572835463,0.02040232682737402,0.16810508820830405,0.06221859260638018,1.010576280456015,20.0,15.0,0.0973901062884168,0.0,12.0,0.0,30.0,218.29038993485597,0.6821243119697917,1.3,0.009352273022227955,1.8477902032750722,0.0,0.0,0.0,0.0,6.552777161737659,774.1206599594123,11.631672455476538,2.0,0.7348126903157484,6.907675211162538,0.9339578338130878,0.06362757050511383,0.5203537068473709,0.0634300232954944,0.0,18.0,55.0,3.517262136963791,26.368162252836004,1.5,25.985066661450208,1500.0,0.0,0.02,0.01,0.1,0.3,2.0,0.02,0.0,0.35,1.2,0.15,962.5,5.25,True,5.25,1,3.25,True,True,True,False,0.0,31.999999999999943,33.0
6,0.07064028422225277,0.031072833129526564,0.15350099759717264,0.03325156758449516,1.0962320738064935,20.0,15.0,0.044979637292181865,0.0,12.0,0.0,30.0,168.62367236790496,0.5902849754843011,1.3,0.008504126235993137,2.0828232037487426,0.0,0.0,0.0,0.0,6.8309635548034535,812.3579360289835,11.089829776983628,2.0,0.6352823241803776,5.597146505124059,0.8186946921274163,0.0989700618005303,0.5124744813832939,0.06472568409011958,0.0,18.0,55.0,4.744898969616774,27.296944361600953,1.5,22.942230329846257,1500.0,0.0,0.02,0.01,0.1,0.3,2.0,0.02,0.0,0.35,1.2,0.15,990.0,4.75,True,4.75,0,2.25,True,True,True,False,0.0,206.0000000000003,188.0
7,0.0556170643001281,0.03103981726082687,0.013650528738149315,0.08380606261111627,1.0821855354183225,20.0,15.0,0.08356654660857063,0.0,12.0,0.0,30.0,159.95249208328832,0.5905641602333679,1.3,0.0032216498531910443,2.7587684133213113,0.0,0.0,0.0,0.0,6.0346222788456005,437.84320287398555,8.671431198593698,2.0,0.5306883296368192,4.287566790061697,0.6061406489476507,0.09143726735235769,0.559905596525635,0.05490289681840832,0.0,18.0,55.0,5.869723505295362,25.76585106499929,1.5,22.102057533798124,1500.0,0.0,0.02,0.01,0.1,0.3,2.0,0.02,0.0,0.35,1.2,0.15,0.0,,False,,0,3.0,True,True,True,True,0.0,14.0,8.0
8,0.04763737157770599,0.027527734858240664,0.1032673175974638,0.031318441455483785,1.0752112723711806,20.0,15.0,0.05599777380204017,0.0,12.0,0.0,30.0,215.5712767118747,0.5146124047874078,1.3,0.006835856398903126,2.852223376093449,0.0,0.0,0.0,0.0,7.0986725595972375,746.2989094654072,8.985647150188079,2.0,0.7814384780708398,5.427953621233141,0.8840520813437553,0.06579698195997886,0.4425191581279615,0.031244082114079065,0.0,18.0,55.0,5.418841439526096,24.180054884486157,1.5,23.649027865853565,1500.0,0.0,0.02,0.01,0.1,0.3,2.0,0.02,0.0,0.35,1.2,0.15,0.0,,False,,0,3.75,True,True,False,True,0.0,191.0,214.0
9,0.05870740484723881,0.04044608342325218,0.03659625672621114,0.014511026998514047,1.0673606160226348,20.0,15.0,0.045186736121286424,0.0,12.0,0.0,30.0,181.1283483071404,0.5399506679464112,1.3,0.008377032963129692,2.6418929264828956,0.0,0.0,0.0,0.0,6.781960502389241,560.3530721334278,8.185393441383777,2.0,0.6578590665469137,6.397415532859954,0.7877961207929738,0.09606094500486176,0.39661990074296605,0.06913439781491665,0.0,18.0,55.0,3.8360068876324904,26.25261024503245,1.5,23.7157801430454,1500.0,0.0,0.02,0.01,0.1,0.3,2.0,0.02,0.0,0.35,1.2,0.15,962.5,5.25,True,5.25,1,3.0,True,True,True,False,0.0,108.0,126.0
