anchors used: ['nz_leave_field_day1', 'landings_begin_day2', 'airbridge', 'counterattack_fails']
acceptance: 0.401 (2403 of 6000 runs reproduce all of them)
                param  prior_mean  post_mean  post_p10  post_p90  shift_sd
    ctx.exploit_delay       5.526      5.758     3.709     7.625     0.161
         mass.dz_loss       0.499      0.494     0.418     0.574    -0.098
        hold.strength     575.781    573.272   514.439   633.092    -0.058
 air.att.interdiction       0.448      0.446     0.325     0.567    -0.030
        response.t_ca      42.024     41.962    38.722    45.199    -0.027
       mass.t_reserve      30.517     30.539    29.303    31.737     0.025
air.att.approach_loss       0.010      0.010     0.006     0.014    -0.025
denial.fire_intensity       0.450      0.448     0.328     0.569    -0.024
         hold.quality       0.999      0.998     0.918     1.077    -0.021
 air.att.ingress_loss       0.025      0.025     0.013     0.037    -0.021
  air.att.suppression       0.550      0.551     0.433     0.668     0.016
 denial.demolish_rate       0.100      0.100     0.060     0.139     0.014
    response.strength    1098.841   1097.433   937.392  1260.571    -0.012
    response.commit_h      11.012     11.028     8.607    13.420     0.009
       denial.t_fires       0.501      0.499     0.099     0.902    -0.005
          air.att.cas       1.300      1.300     1.221     1.379     0.005
      mass.reserve_dz       0.200      0.199     0.122     0.281    -0.005
       risk.tolerance       0.325      0.324     0.264     0.386    -0.003
         ctx.aircraft      32.504     32.497    26.421    38.449    -0.002
   denial.crater_rate       0.010      0.010     0.002     0.018    -0.001
     hold.base_hazard       0.017      0.017     0.007     0.027    -0.001
