param,eta2,direction,noise_floor
risk.commit_cycle_h,0.004029219143576827,-1.0,0.00225
mass.aircraft,0.0038613350125944594,1.0,0.00225
response.strength,0.0038613350125944585,-1.0,0.00225
air.att.cas,0.0033576826196473554,1.0,0.00225
mass.dz_loss,0.0030219143576826206,-1.0,0.00225
ctx.aircraft,0.0028540302267002528,1.0,0.00225
air.att.ingress_loss,0.002686146095717885,-1.0,0.00225
hold.strength,0.0026861460957178845,-1.0,0.00225
response.commit_h,0.002686146095717884,-1.0,0.00225
denial.demolish_rate,0.002350377833753149,1.0,0.00225
risk.commit_lag_h,0.0023503778337531484,1.0,0.00225
hold.base_hazard,0.0023503778337531484,1.0,0.00225
air.att.approach_loss,0.0021824937027707806,1.0,0.00225
air.att.suppression,0.00218249370277078,-1.0,0.00225
denial.fire_intensity,0.0020146095717884136,-1.0,0.00225
risk.tolerance,0.0018467254408060453,1.0,0.00225
air.att.interdiction,0.0016788413098236777,1.0,0.00225
response.t_ca,0.0016788413098236777,1.0,0.00225
denial.crater_rate,0.0013430730478589425,-1.0,0.00225
denial.t_fires,0.0010073047858942068,1.0,0.00225
hold.quality,0.0010073047858942066,-1.0,0.00225
ctx.exploit_delay,0.0006715365239294711,-1.0,0.00225
