param,eta2,direction,noise_floor
denial.t_fires,0.1577392285095378,1.0,0.00225
risk.tolerance,0.13432692777909794,1.0,0.00225
air.att.approach_loss,0.07770703285085047,-1.0,0.00225
denial.obstacles0,0.03138740258219601,-1.0,0.00225
ctx.wave1_t,0.025826981158716546,-1.0,0.00225
hold.ammo_out_h,0.015199632885977693,-1.0,0.00225
hold.strength,0.0051690687495049474,-1.0,0.00225
response.t_ca,0.0037803979708857243,1.0,0.00225
denial.demolish_rate,0.0029827730195300522,-1.0,0.00225
denial.fire_intensity,0.002896698384491671,1.0,0.00225
denial.crater_rate,0.002873745148481439,-1.0,0.00225
air.att.cas,0.0027360257324200244,-1.0,0.00225
mass.dz_loss,0.0026671660243893208,-1.0,0.00225
hold.base_hazard,0.002523708299325349,-1.0,0.00225
ctx.t_relief,0.002454848591294647,-1.0,0.00225
response.commit_h,0.002357297338251147,-1.0,0.00225
hold.quality,0.002047428652112972,-1.0,0.00225
air.att.interdiction,0.001967092326077149,1.0,0.00225
response.strength,0.0019154475450541212,-1.0,0.00225
ctx.wave2_t,0.0018006813650029447,1.0,0.00225
air.att.suppression,0.0014391678978417429,-1.0,0.00225
air.att.ingress_loss,0.001398999734823831,1.0,0.00225
