param,eta2,direction,noise_floor
mass.dz_loss,0.054145924430791845,-1.0,0.00225
hold.strength,0.02142088351426158,-1.0,0.00225
hold.base_hazard,0.010565546867543562,1.0,0.00225
denial.fire_intensity,0.007249456508291113,-1.0,0.00225
hold.quality,0.005323414683290145,-1.0,0.00225
response.strength,0.003845015606607447,1.0,0.00225
air.att.cas,0.003809675389634953,1.0,0.00225
ctx.exploit_delay,0.0030263005800779783,1.0,0.00225
response.commit_h,0.002549207650949298,1.0,0.00225
risk.tolerance,0.0024785272170043094,1.0,0.00225
denial.crater_rate,0.0021074549387931113,1.0,0.00225
ctx.aircraft,0.001989654215551461,1.0,0.00225
response.t_ca,0.001907193709282306,1.0,0.00225
denial.demolish_rate,0.0018659634561477307,-1.0,0.00225
mass.t_reserve,0.0014654409971261216,1.0,0.00225
air.att.approach_loss,0.0012710698037773987,-1.0,0.00225
denial.t_fires,0.0011591591166978295,1.0,0.00225
air.att.interdiction,0.0011238188997253365,1.0,0.00225
air.att.suppression,0.0010472484296182667,1.0,0.00225
mass.reserve_dz,0.0010177982488078525,1.0,0.00225
air.att.ingress_loss,0.0009883480679974382,-1.0,0.00225
