param,eta2,direction,noise_floor
response.commit_h,0.005179760094610573,-1.0,0.00225
mass.aircraft,0.004522906459424452,1.0,0.00225
risk.commit_cycle_h,0.004241397758630399,-1.0,0.00225
air.att.cas,0.004053725291434362,1.0,0.00225
hold.strength,0.0037722165906403098,-1.0,0.00225
response.strength,0.003584544123444274,-1.0,0.00225
risk.tolerance,0.0033030354226502214,1.0,0.00225
ctx.aircraft,0.003209199189052204,1.0,0.00225
risk.commit_lag_h,0.0030215267218561687,1.0,0.00225
denial.fire_intensity,0.0027400180210621155,-1.0,0.00225
mass.dz_loss,0.0025523455538660803,-1.0,0.00225
air.att.ingress_loss,0.0025523455538660803,-1.0,0.00225
hold.base_hazard,0.0024585093202680623,1.0,0.00225
hold.quality,0.00217700061947401,-1.0,0.00225
response.t_ca,0.0021770006194740095,1.0,0.00225
air.att.suppression,0.0020831643858759915,1.0,0.00225
denial.crater_rate,0.0019893281522779744,1.0,0.00225
denial.demolish_rate,0.0018016556850819392,1.0,0.00225
air.att.approach_loss,0.0015201469842878862,1.0,0.00225
ctx.exploit_delay,0.0009571295826997802,1.0,0.00225
air.att.interdiction,0.0008632933491017624,1.0,0.00225
denial.t_fires,0.0008632933491017624,1.0,0.00225
