param,eta2,direction,noise_floor
ctx.troops_per_aircraft,0.032458047514396675,1.0,0.00225
ctx.wave2_t,0.004682317359011521,-1.0,0.00225
mass.dz_loss,0.0034784157423694393,-1.0,0.00225
response.commit_h,0.0033064297971348573,1.0,0.00225
ctx.wave3_t,0.0027044789888138166,-1.0,0.00225
denial.crater_rate,0.002532493043579234,1.0,0.00225
mass.shock_decay_h,0.002360507098344651,1.0,0.00225
hold.quality,0.002274514125727359,-1.0,0.00225
air.att.cas,0.0021025281804927763,-1.0,0.00225
response.t_ca,0.0021025281804927763,-1.0,0.00225
denial.demolish_rate,0.0020165352078754853,1.0,0.00225
risk.tolerance,0.002016535207875485,1.0,0.00225
air.att.interdiction,0.0019305422352581935,1.0,0.00225
mass.shock,0.0019305422352581935,1.0,0.00225
hold.base_hazard,0.001930542235258193,1.0,0.00225
mass.cornered,0.001844549262640902,-1.0,0.00225
response.strength,0.0018445492626409019,-1.0,0.00225
mass.aircraft,0.0017585562900236105,-1.0,0.00225
air.att.approach_loss,0.0017585562900236105,-1.0,0.00225
air.att.ingress_loss,0.0015865703447890279,-1.0,0.00225
ctx.wave1_t,0.0015865703447890279,1.0,0.00225
air.att.suppression,0.0015865703447890277,1.0,0.00225
denial.fire_intensity,0.0015005773721717363,1.0,0.00225
hold.strength,0.0013285914269371534,1.0,0.00225
ctx.wreck_obstacle,0.001070612509085279,1.0,0.00225
denial.t_fires,0.0007266406186161127,-1.0,0.00225
