AIR,MASS,HOLD,COMMAND,RESPONSE,DENIAL,RISK,n_swapped,p,n
0,0,0,0,0,0,0,0,0.011,1000
0,0,0,0,0,0,1,1,0.0,1000
0,0,0,0,0,1,0,1,0.0,1000
0,0,0,0,1,0,0,1,0.007,1000
0,0,0,1,0,0,0,1,0.011,1000
0,0,1,0,0,0,0,1,0.763,1000
0,1,0,0,0,0,0,1,0.002,1000
1,0,0,0,0,0,0,1,0.01,1000
0,0,0,0,0,1,1,2,0.0,1000
0,0,0,0,1,0,1,2,0.0,1000
0,0,0,0,1,1,0,2,0.0,1000
0,0,0,1,0,0,1,2,0.0,1000
0,0,0,1,0,1,0,2,0.0,1000
0,0,0,1,1,0,0,2,0.007,1000
0,0,1,0,0,0,1,2,0.0,1000
0,0,1,0,0,1,0,2,0.002,1000
0,0,1,0,1,0,0,2,0.503,1000
0,0,1,1,0,0,0,2,0.763,1000
0,1,0,0,0,0,1,2,0.0,1000
0,1,0,0,0,1,0,2,0.0,1000
0,1,0,0,1,0,0,2,0.0,1000
0,1,0,1,0,0,0,2,0.002,1000
0,1,1,0,0,0,0,2,0.406,1000
1,0,0,0,0,0,1,2,0.0,1000
1,0,0,0,0,1,0,2,0.0,1000
1,0,0,0,1,0,0,2,0.006,1000
1,0,0,1,0,0,0,2,0.01,1000
1,0,1,0,0,0,0,2,0.684,1000
1,1,0,0,0,0,0,2,0.002,1000
0,0,0,0,1,1,1,3,0.0,1000
0,0,0,1,0,1,1,3,0.0,1000
0,0,0,1,1,0,1,3,0.0,1000
0,0,0,1,1,1,0,3,0.0,1000
0,0,1,0,0,1,1,3,0.0,1000
0,0,1,0,1,0,1,3,0.0,1000
0,0,1,0,1,1,0,3,0.0,1000
0,0,1,1,0,0,1,3,0.0,1000
0,0,1,1,0,1,0,3,0.002,1000
0,0,1,1,1,0,0,3,0.503,1000
0,1,0,0,0,1,1,3,0.0,1000
0,1,0,0,1,0,1,3,0.0,1000
0,1,0,0,1,1,0,3,0.0,1000
0,1,0,1,0,0,1,3,0.0,1000
0,1,0,1,0,1,0,3,0.0,1000
0,1,0,1,1,0,0,3,0.0,1000
0,1,1,0,0,0,1,3,0.0,1000
0,1,1,0,0,1,0,3,0.002,1000
0,1,1,0,1,0,0,3,0.034,1000
0,1,1,1,0,0,0,3,0.406,1000
1,0,0,0,0,1,1,3,0.0,1000
1,0,0,0,1,0,1,3,0.0,1000
1,0,0,0,1,1,0,3,0.0,1000
1,0,0,1,0,0,1,3,0.0,1000
1,0,0,1,0,1,0,3,0.0,1000
1,0,0,1,1,0,0,3,0.006,1000
1,0,1,0,0,0,1,3,0.0,1000
1,0,1,0,0,1,0,3,0.002,1000
1,0,1,0,1,0,0,3,0.455,1000
1,0,1,1,0,0,0,3,0.684,1000
1,1,0,0,0,0,1,3,0.0,1000
1,1,0,0,0,1,0,3,0.0,1000
1,1,0,0,1,0,0,3,0.0,1000
1,1,0,1,0,0,0,3,0.002,1000
1,1,1,0,0,0,0,3,0.356,1000
0,0,0,1,1,1,1,4,0.0,1000
0,0,1,0,1,1,1,4,0.0,1000
0,0,1,1,0,1,1,4,0.0,1000
0,0,1,1,1,0,1,4,0.0,1000
0,0,1,1,1,1,0,4,0.0,1000
0,1,0,0,1,1,1,4,0.0,1000
0,1,0,1,0,1,1,4,0.0,1000
0,1,0,1,1,0,1,4,0.0,1000
0,1,0,1,1,1,0,4,0.0,1000
0,1,1,0,0,1,1,4,0.0,1000
0,1,1,0,1,0,1,4,0.0,1000
