AIR,MASS,HOLD,RESPONSE,DENIAL,RISK,n_swapped,p,n
0,0,0,0,0,0,0,0.0125,400
0,0,0,0,0,1,1,0.0125,400
0,0,0,0,1,0,1,0.0125,400
0,0,0,1,0,0,1,0.0125,400
0,0,1,0,0,0,1,0.055,400
0,1,0,0,0,0,1,0.0175,400
1,0,0,0,0,0,1,0.02,400
0,0,0,0,1,1,2,0.0125,400
0,0,0,1,0,1,2,0.0125,400
0,0,0,1,1,0,2,0.0125,400
0,0,1,0,0,1,2,0.055,400
0,0,1,0,1,0,2,0.07,400
0,0,1,1,0,0,2,0.1875,400
0,1,0,0,0,1,2,0.0175,400
0,1,0,0,1,0,2,0.02,400
0,1,0,1,0,0,2,0.0175,400
0,1,1,0,0,0,2,0.09,400
1,0,0,0,0,1,2,0.02,400
1,0,0,0,1,0,2,0.02,400
1,0,0,1,0,0,2,0.02,400
1,0,1,0,0,0,2,0.23,400
1,1,0,0,0,0,2,0.025,400
0,0,0,1,1,1,3,0.0125,400
0,0,1,0,1,1,3,0.07,400
0,0,1,1,0,1,3,0.1875,400
0,0,1,1,1,0,3,0.2025,400
0,1,0,0,1,1,3,0.02,400
0,1,0,1,0,1,3,0.0175,400
0,1,0,1,1,0,3,0.02,400
0,1,1,0,0,1,3,0.09,400
0,1,1,0,1,0,3,0.115,400
0,1,1,1,0,0,3,0.24,400
1,0,0,0,1,1,3,0.02,400
1,0,0,1,0,1,3,0.02,400
1,0,0,1,1,0,3,0.02,400
1,0,1,0,0,1,3,0.23,400
1,0,1,0,1,0,3,0.26,400
1,0,1,1,0,0,3,0.2875,400
1,1,0,0,0,1,3,0.025,400
1,1,0,0,1,0,3,0.0275,400
1,1,0,1,0,0,3,0.0275,400
1,1,1,0,0,0,3,0.315,400
0,0,1,1,1,1,4,0.2025,400
0,1,0,1,1,1,4,0.02,400
0,1,1,0,1,1,4,0.115,400
0,1,1,1,0,1,4,0.24,400
0,1,1,1,1,0,4,0.2625,400
1,0,0,1,1,1,4,0.02,400
1,0,1,0,1,1,4,0.26,400
1,0,1,1,0,1,4,0.2875,400
1,0,1,1,1,0,4,0.3225,400
1,1,0,0,1,1,4,0.0275,400
1,1,0,1,0,1,4,0.0275,400
1,1,0,1,1,0,4,0.03,400
1,1,1,0,0,1,4,0.315,400
1,1,1,0,1,0,4,0.3375,400
1,1,1,1,0,0,4,0.365,400
0,1,1,1,1,1,5,0.2625,400
1,0,1,1,1,1,5,0.3225,400
1,1,0,1,1,1,5,0.03,400
1,1,1,0,1,1,5,0.3375,400
1,1,1,1,0,1,5,0.365,400
1,1,1,1,1,0,5,0.39,400
1,1,1,1,1,1,6,0.39,400
