AIR,MASS,HOLD,COMMAND,RESPONSE,DENIAL,RISK,n_swapped,p,n
0,0,0,0,0,0,0,0,0.011,1000
0,0,0,0,0,0,1,1,0.011,1000
0,0,0,0,0,1,0,1,0.01,1000
0,0,0,0,1,0,0,1,0.013,1000
0,0,0,1,0,0,0,1,0.005,1000
0,0,1,0,0,0,0,1,0.127,1000
0,1,0,0,0,0,0,1,0.012,1000
1,0,0,0,0,0,0,1,0.014,1000
0,0,0,0,0,1,1,2,0.01,1000
0,0,0,0,1,0,1,2,0.013,1000
0,0,0,0,1,1,0,2,0.013,1000
0,0,0,1,0,0,1,2,0.005,1000
0,0,0,1,0,1,0,2,0.01,1000
0,0,0,1,1,0,0,2,0.016,1000
0,0,1,0,0,0,1,2,0.127,1000
0,0,1,0,0,1,0,2,0.158,1000
0,0,1,0,1,0,0,2,0.239,1000
0,0,1,1,0,0,0,2,0.171,1000
0,1,0,0,0,0,1,2,0.012,1000
0,1,0,0,0,1,0,2,0.012,1000
0,1,0,0,1,0,0,2,0.016,1000
0,1,0,1,0,0,0,2,0.008,1000
0,1,1,0,0,0,0,2,0.174,1000
1,0,0,0,0,0,1,2,0.014,1000
1,0,0,0,0,1,0,2,0.018,1000
1,0,0,0,1,0,0,2,0.016,1000
1,0,0,1,0,0,0,2,0.024,1000
1,0,1,0,0,0,0,2,0.305,1000
1,1,0,0,0,0,0,2,0.018,1000
0,0,0,0,1,1,1,3,0.013,1000
0,0,0,1,0,1,1,3,0.01,1000
0,0,0,1,1,0,1,3,0.016,1000
0,0,0,1,1,1,0,3,0.02,1000
0,0,1,0,0,1,1,3,0.158,1000
0,0,1,0,1,0,1,3,0.239,1000
0,0,1,0,1,1,0,3,0.273,1000
0,0,1,1,0,0,1,3,0.171,1000
0,0,1,1,0,1,0,3,0.232,1000
0,0,1,1,1,0,0,3,0.356,1000
0,1,0,0,0,1,1,3,0.012,1000
0,1,0,0,1,0,1,3,0.016,1000
0,1,0,0,1,1,0,3,0.016,1000
0,1,0,1,0,0,1,3,0.008,1000
0,1,0,1,0,1,0,3,0.016,1000
0,1,0,1,1,0,0,3,0.025,1000
0,1,1,0,0,0,1,3,0.174,1000
0,1,1,0,0,1,0,3,0.228,1000
0,1,1,0,1,0,0,3,0.317,1000
0,1,1,1,0,0,0,3,0.248,1000
1,0,0,0,0,1,1,3,0.018,1000
1,0,0,0,1,0,1,3,0.016,1000
1,0,0,0,1,1,0,3,0.02,1000
1,0,0,1,0,0,1,3,0.024,1000
1,0,0,1,0,1,0,3,0.032,1000
1,0,0,1,1,0,0,3,0.035,1000
1,0,1,0,0,0,1,3,0.305,1000
1,0,1,0,0,1,0,3,0.353,1000
1,0,1,0,1,0,0,3,0.375,1000
1,0,1,1,0,0,0,3,0.405,1000
1,1,0,0,0,0,1,3,0.018,1000
1,1,0,0,0,1,0,3,0.02,1000
1,1,0,0,1,0,0,3,0.02,1000
1,1,0,1,0,0,0,3,0.043,1000
1,1,1,0,0,0,0,3,0.445,1000
0,0,0,1,1,1,1,4,0.02,1000
0,0,1,0,1,1,1,4,0.273,1000
0,0,1,1,0,1,1,4,0.232,1000
0,0,1,1,1,0,1,4,0.356,1000
0,0,1,1,1,1,0,4,0.409,1000
0,1,0,0,1,1,1,4,0.016,1000
0,1,0,1,0,1,1,4,0.016,1000
0,1,0,1,1,0,1,4,0.025,1000
0,1,0,1,1,1,0,4,0.03,1000
0,1,1,0,0,1,1,4,0.228,1000
0,1,1,0,1,0,1,4,0.317,1000
0,1,1,0,1,1,0,4,0.372,1000
0,1,1,1,0,0,1,4,0.248,1000
0,1,1,1,0,1,0,4,0.324,1000
0,1,1,1,1,0,0,4,0.434,1000
1,0,0,0,1,1,1,4,0.02,1000
1,0,0,1,0,1,1,4,0.032,1000
1,0,0,1,1,0,1,4,0.035,1000
1,0,0,1,1,1,0,4,0.043,1000
1,0,1,0,0,1,1,4,0.353,1000
1,0,1,0,1,0,1,4,0.375,1000
1,0,1,0,1,1,0,4,0.425,1000
1,0,1,1,0,0,1,4,0.405,1000
1,0,1,1,0,1,0,4,0.458,1000
1,0,1,1,1,0,0,4,0.476,1000
1,1,0,0,0,1,1,4,0.02,1000
1,1,0,0,1,0,1,4,0.02,1000
1,1,0,0,1,1,0,4,0.022,1000
1,1,0,1,0,0,1,4,0.043,1000
1,1,0,1,0,1,0,4,0.055,1000
1,1,0,1,1,0,0,4,0.055,1000
1,1,1,0,0,0,1,4,0.445,1000
1,1,1,0,0,1,0,4,0.512,1000
1,1,1,0,1,0,0,4,0.535,1000
1,1,1,1,0,0,0,4,0.535,1000
0,0,1,1,1,1,1,5,0.409,1000
0,1,0,1,1,1,1,5,0.03,1000
0,1,1,0,1,1,1,5,0.372,1000
0,1,1,1,0,1,1,5,0.324,1000
0,1,1,1,1,0,1,5,0.434,1000
0,1,1,1,1,1,0,5,0.498,1000
1,0,0,1,1,1,1,5,0.043,1000
1,0,1,0,1,1,1,5,0.425,1000
1,0,1,1,0,1,1,5,0.458,1000
1,0,1,1,1,0,1,5,0.476,1000
1,0,1,1,1,1,0,5,0.521,1000
1,1,0,0,1,1,1,5,0.022,1000
1,1,0,1,0,1,1,5,0.055,1000
1,1,0,1,1,0,1,5,0.055,1000
1,1,0,1,1,1,0,5,0.062,1000
1,1,1,0,0,1,1,5,0.512,1000
1,1,1,0,1,0,1,5,0.535,1000
1,1,1,0,1,1,0,5,0.595,1000
1,1,1,1,0,0,1,5,0.535,1000
1,1,1,1,0,1,0,5,0.589,1000
1,1,1,1,1,0,0,5,0.594,1000
0,1,1,1,1,1,1,6,0.498,1000
1,0,1,1,1,1,1,6,0.521,1000
1,1,0,1,1,1,1,6,0.062,1000
1,1,1,0,1,1,1,6,0.595,1000
1,1,1,1,0,1,1,6,0.589,1000
1,1,1,1,1,0,1,6,0.594,1000
1,1,1,1,1,1,0,6,0.634,1000
1,1,1,1,1,1,1,7,0.634,1000
