AIR,MASS,HOLD,COMMAND,RESPONSE,DENIAL,RISK,n_swapped,p,n
0,0,0,0,0,0,0,0,0.0125,400
0,0,0,0,0,0,1,1,0.0125,400
0,0,0,0,0,1,0,1,0.0125,400
0,0,0,0,1,0,0,1,0.01,400
0,0,0,1,0,0,0,1,0.0125,400
0,0,1,0,0,0,0,1,0.02,400
0,1,0,0,0,0,0,1,0.01,400
1,0,0,0,0,0,0,1,0.015,400
0,0,0,0,0,1,1,2,0.0125,400
0,0,0,0,1,0,1,2,0.01,400
0,0,0,0,1,1,0,2,0.01,400
0,0,0,1,0,0,1,2,0.0125,400
0,0,0,1,0,1,0,2,0.0125,400
0,0,0,1,1,0,0,2,0.01,400
0,0,1,0,0,0,1,2,0.02,400
0,0,1,0,0,1,0,2,0.0225,400
0,0,1,0,1,0,0,2,0.0125,400
0,0,1,1,0,0,0,2,0.02,400
0,1,0,0,0,0,1,2,0.01,400
0,1,0,0,0,1,0,2,0.01,400
0,1,0,0,1,0,0,2,0.0075,400
0,1,0,1,0,0,0,2,0.01,400
0,1,1,0,0,0,0,2,0.02,400
1,0,0,0,0,0,1,2,0.015,400
1,0,0,0,0,1,0,2,0.015,400
1,0,0,0,1,0,0,2,0.0125,400
1,0,0,1,0,0,0,2,0.015,400
1,0,1,0,0,0,0,2,0.0225,400
1,1,0,0,0,0,0,2,0.01,400
0,0,0,0,1,1,1,3,0.01,400
0,0,0,1,0,1,1,3,0.0125,400
0,0,0,1,1,0,1,3,0.01,400
0,0,0,1,1,1,0,3,0.01,400
0,0,1,0,0,1,1,3,0.0225,400
0,0,1,0,1,0,1,3,0.0125,400
0,0,1,0,1,1,0,3,0.02,400
0,0,1,1,0,0,1,3,0.02,400
0,0,1,1,0,1,0,3,0.0225,400
0,0,1,1,1,0,0,3,0.0125,400
0,1,0,0,0,1,1,3,0.01,400
0,1,0,0,1,0,1,3,0.0075,400
0,1,0,0,1,1,0,3,0.0075,400
0,1,0,1,0,0,1,3,0.01,400
0,1,0,1,0,1,0,3,0.01,400
0,1,0,1,1,0,0,3,0.0075,400
0,1,1,0,0,0,1,3,0.02,400
0,1,1,0,0,1,0,3,0.02,400
0,1,1,0,1,0,0,3,0.0125,400
0,1,1,1,0,0,0,3,0.02,400
1,0,0,0,0,1,1,3,0.015,400
1,0,0,0,1,0,1,3,0.0125,400
1,0,0,0,1,1,0,3,0.0125,400
1,0,0,1,0,0,1,3,0.015,400
1,0,0,1,0,1,0,3,0.015,400
1,0,0,1,1,0,0,3,0.0125,400
1,0,1,0,0,0,1,3,0.0225,400
1,0,1,0,0,1,0,3,0.025,400
1,0,1,0,1,0,0,3,0.02,400
1,0,1,1,0,0,0,3,0.0225,400
1,1,0,0,0,0,1,3,0.01,400
1,1,0,0,0,1,0,3,0.0125,400
1,1,0,0,1,0,0,3,0.0075,400
1,1,0,1,0,0,0,3,0.01,400
1,1,1,0,0,0,0,3,0.02,400
0,0,0,1,1,1,1,4,0.01,400
0,0,1,0,1,1,1,4,0.02,400
0,0,1,1,0,1,1,4,0.0225,400
0,0,1,1,1,0,1,4,0.0125,400
0,0,1,1,1,1,0,4,0.02,400
0,1,0,0,1,1,1,4,0.0075,400
0,1,0,1,0,1,1,4,0.01,400
0,1,0,1,1,0,1,4,0.0075,400
0,1,0,1,1,1,0,4,0.0075,400
0,1,1,0,0,1,1,4,0.02,400
0,1,1,0,1,0,1,4,0.0125,400
0,1,1,0,1,1,0,4,0.0175,400
0,1,1,1,0,0,1,4,0.02,400
0,1,1,1,0,1,0,4,0.02,400
0,1,1,1,1,0,0,4,0.0125,400
1,0,0,0,1,1,1,4,0.0125,400
1,0,0,1,0,1,1,4,0.015,400
1,0,0,1,1,0,1,4,0.0125,400
1,0,0,1,1,1,0,4,0.0125,400
1,0,1,0,0,1,1,4,0.025,400
1,0,1,0,1,0,1,4,0.02,400
1,0,1,0,1,1,0,4,0.0225,400
1,0,1,1,0,0,1,4,0.0225,400
1,0,1,1,0,1,0,4,0.025,400
1,0,1,1,1,0,0,4,0.02,400
1,1,0,0,0,1,1,4,0.0125,400
1,1,0,0,1,0,1,4,0.0075,400
1,1,0,0,1,1,0,4,0.01,400
1,1,0,1,0,0,1,4,0.01,400
1,1,0,1,0,1,0,4,0.0125,400
1,1,0,1,1,0,0,4,0.0075,400
1,1,1,0,0,0,1,4,0.02,400
1,1,1,0,0,1,0,4,0.02,400
1,1,1,0,1,0,0,4,0.0125,400
1,1,1,1,0,0,0,4,0.02,400
0,0,1,1,1,1,1,5,0.02,400
0,1,0,1,1,1,1,5,0.0075,400
0,1,1,0,1,1,1,5,0.0175,400
0,1,1,1,0,1,1,5,0.02,400
0,1,1,1,1,0,1,5,0.0125,400
0,1,1,1,1,1,0,5,0.0175,400
1,0,0,1,1,1,1,5,0.0125,400
1,0,1,0,1,1,1,5,0.0225,400
1,0,1,1,0,1,1,5,0.025,400
1,0,1,1,1,0,1,5,0.02,400
1,0,1,1,1,1,0,5,0.0225,400
1,1,0,0,1,1,1,5,0.01,400
1,1,0,1,0,1,1,5,0.0125,400
1,1,0,1,1,0,1,5,0.0075,400
1,1,0,1,1,1,0,5,0.01,400
1,1,1,0,0,1,1,5,0.02,400
1,1,1,0,1,0,1,5,0.0125,400
1,1,1,0,1,1,0,5,0.0175,400
1,1,1,1,0,0,1,5,0.02,400
1,1,1,1,0,1,0,5,0.02,400
1,1,1,1,1,0,0,5,0.0125,400
0,1,1,1,1,1,1,6,0.0175,400
1,0,1,1,1,1,1,6,0.0225,400
1,1,0,1,1,1,1,6,0.01,400
1,1,1,0,1,1,1,6,0.0175,400
1,1,1,1,0,1,1,6,0.02,400
1,1,1,1,1,0,1,6,0.0125,400
1,1,1,1,1,1,0,6,0.0175,400
1,1,1,1,1,1,1,7,0.0175,400
