AIR,MASS,HOLD,COMMAND,RESPONSE,DENIAL,RISK,n_swapped,p,n
0,0,0,0,0,0,0,0,0.011,1000
0,0,0,0,0,0,1,1,0.011,1000
0,0,0,0,0,1,0,1,0.01,1000
0,0,0,0,1,0,0,1,0.008,1000
0,0,0,1,0,0,0,1,0.011,1000
0,0,1,0,0,0,0,1,0.019,1000
0,1,0,0,0,0,0,1,0.006,1000
1,0,0,0,0,0,0,1,0.012,1000
0,0,0,0,0,1,1,2,0.01,1000
0,0,0,0,1,0,1,2,0.008,1000
0,0,0,0,1,1,0,2,0.009,1000
0,0,0,1,0,0,1,2,0.011,1000
0,0,0,1,0,1,0,2,0.01,1000
0,0,0,1,1,0,0,2,0.008,1000
0,0,1,0,0,0,1,2,0.019,1000
0,0,1,0,0,1,0,2,0.022,1000
0,0,1,0,1,0,0,2,0.018,1000
0,0,1,1,0,0,0,2,0.019,1000
0,1,0,0,0,0,1,2,0.006,1000
0,1,0,0,0,1,0,2,0.007,1000
0,1,0,0,1,0,0,2,0.004,1000
0,1,0,1,0,0,0,2,0.006,1000
0,1,1,0,0,0,0,2,0.011,1000
1,0,0,0,0,0,1,2,0.012,1000
1,0,0,0,0,1,0,2,0.011,1000
1,0,0,0,1,0,0,2,0.01,1000
1,0,0,1,0,0,0,2,0.012,1000
1,0,1,0,0,0,0,2,0.022,1000
1,1,0,0,0,0,0,2,0.008,1000
0,0,0,0,1,1,1,3,0.009,1000
0,0,0,1,0,1,1,3,0.01,1000
0,0,0,1,1,0,1,3,0.008,1000
0,0,0,1,1,1,0,3,0.009,1000
0,0,1,0,0,1,1,3,0.022,1000
0,0,1,0,1,0,1,3,0.018,1000
0,0,1,0,1,1,0,3,0.023,1000
0,0,1,1,0,0,1,3,0.019,1000
0,0,1,1,0,1,0,3,0.022,1000
0,0,1,1,1,0,0,3,0.018,1000
0,1,0,0,0,1,1,3,0.007,1000
0,1,0,0,1,0,1,3,0.004,1000
0,1,0,0,1,1,0,3,0.005,1000
0,1,0,1,0,0,1,3,0.006,1000
0,1,0,1,0,1,0,3,0.007,1000
0,1,0,1,1,0,0,3,0.004,1000
0,1,1,0,0,0,1,3,0.011,1000
0,1,1,0,0,1,0,3,0.015,1000
0,1,1,0,1,0,0,3,0.008,1000
0,1,1,1,0,0,0,3,0.011,1000
1,0,0,0,0,1,1,3,0.011,1000
1,0,0,0,1,0,1,3,0.01,1000
1,0,0,0,1,1,0,3,0.011,1000
1,0,0,1,0,0,1,3,0.012,1000
1,0,0,1,0,1,0,3,0.011,1000
1,0,0,1,1,0,0,3,0.01,1000
1,0,1,0,0,0,1,3,0.022,1000
1,0,1,0,0,1,0,3,0.027,1000
1,0,1,0,1,0,0,3,0.023,1000
1,0,1,1,0,0,0,3,0.022,1000
1,1,0,0,0,0,1,3,0.008,1000
1,1,0,0,0,1,0,3,0.01,1000
1,1,0,0,1,0,0,3,0.006,1000
1,1,0,1,0,0,0,3,0.008,1000
1,1,1,0,0,0,0,3,0.013,1000
0,0,0,1,1,1,1,4,0.009,1000
0,0,1,0,1,1,1,4,0.023,1000
0,0,1,1,0,1,1,4,0.022,1000
0,0,1,1,1,0,1,4,0.018,1000
0,0,1,1,1,1,0,4,0.023,1000
0,1,0,0,1,1,1,4,0.005,1000
0,1,0,1,0,1,1,4,0.007,1000
0,1,0,1,1,0,1,4,0.004,1000
0,1,0,1,1,1,0,4,0.005,1000
0,1,1,0,0,1,1,4,0.015,1000
0,1,1,0,1,0,1,4,0.008,1000
0,1,1,0,1,1,0,4,0.013,1000
0,1,1,1,0,0,1,4,0.011,1000
0,1,1,1,0,1,0,4,0.015,1000
0,1,1,1,1,0,0,4,0.008,1000
1,0,0,0,1,1,1,4,0.011,1000
1,0,0,1,0,1,1,4,0.011,1000
1,0,0,1,1,0,1,4,0.01,1000
1,0,0,1,1,1,0,4,0.011,1000
1,0,1,0,0,1,1,4,0.027,1000
1,0,1,0,1,0,1,4,0.023,1000
1,0,1,0,1,1,0,4,0.028,1000
1,0,1,1,0,0,1,4,0.022,1000
1,0,1,1,0,1,0,4,0.027,1000
1,0,1,1,1,0,0,4,0.023,1000
1,1,0,0,0,1,1,4,0.01,1000
1,1,0,0,1,0,1,4,0.006,1000
1,1,0,0,1,1,0,4,0.007,1000
1,1,0,1,0,0,1,4,0.008,1000
1,1,0,1,0,1,0,4,0.01,1000
1,1,0,1,1,0,0,4,0.006,1000
1,1,1,0,0,0,1,4,0.013,1000
1,1,1,0,0,1,0,4,0.015,1000
1,1,1,0,1,0,0,4,0.012,1000
1,1,1,1,0,0,0,4,0.013,1000
0,0,1,1,1,1,1,5,0.023,1000
0,1,0,1,1,1,1,5,0.005,1000
0,1,1,0,1,1,1,5,0.013,1000
0,1,1,1,0,1,1,5,0.015,1000
0,1,1,1,1,0,1,5,0.008,1000
0,1,1,1,1,1,0,5,0.013,1000
1,0,0,1,1,1,1,5,0.011,1000
1,0,1,0,1,1,1,5,0.028,1000
1,0,1,1,0,1,1,5,0.027,1000
1,0,1,1,1,0,1,5,0.023,1000
1,0,1,1,1,1,0,5,0.028,1000
1,1,0,0,1,1,1,5,0.007,1000
1,1,0,1,0,1,1,5,0.01,1000
1,1,0,1,1,0,1,5,0.006,1000
1,1,0,1,1,1,0,5,0.007,1000
1,1,1,0,0,1,1,5,0.015,1000
1,1,1,0,1,0,1,5,0.012,1000
1,1,1,0,1,1,0,5,0.016,1000
1,1,1,1,0,0,1,5,0.013,1000
1,1,1,1,0,1,0,5,0.015,1000
1,1,1,1,1,0,0,5,0.012,1000
0,1,1,1,1,1,1,6,0.013,1000
1,0,1,1,1,1,1,6,0.028,1000
1,1,0,1,1,1,1,6,0.007,1000
1,1,1,0,1,1,1,6,0.016,1000
1,1,1,1,0,1,1,6,0.015,1000
1,1,1,1,1,0,1,6,0.012,1000
1,1,1,1,1,1,0,6,0.016,1000
1,1,1,1,1,1,1,7,0.016,1000
