AIR,MASS,HOLD,RESPONSE,DENIAL,RISK,n_swapped,p,n
0,0,0,0,0,0,0,0.0125,400
0,0,0,0,0,1,1,0.0125,400
0,0,0,0,1,0,1,0.0175,400
0,0,0,1,0,0,1,0.005,400
0,0,1,0,0,0,1,0.16,400
0,1,0,0,0,0,1,0.0075,400
1,0,0,0,0,0,1,0.015,400
0,0,0,0,1,1,2,0.0175,400
0,0,0,1,0,1,2,0.005,400
0,0,0,1,1,0,2,0.0075,400
0,0,1,0,0,1,2,0.2725,400
0,0,1,0,1,0,2,0.3275,400
0,0,1,1,0,0,2,0.0725,400
0,1,0,0,0,1,2,0.01,400
0,1,0,0,1,0,2,0.0075,400
0,1,0,1,0,0,2,0.0,400
0,1,1,0,0,0,2,0.035,400
1,0,0,0,0,1,2,0.015,400
1,0,0,0,1,0,2,0.0225,400
1,0,0,1,0,0,2,0.005,400
1,0,1,0,0,0,2,0.2325,400
1,1,0,0,0,0,2,0.0075,400
0,0,0,1,1,1,3,0.0075,400
0,0,1,0,1,1,3,0.5025,400
0,0,1,1,0,1,3,0.08,400
0,0,1,1,1,0,3,0.2125,400
0,1,0,0,1,1,3,0.01,400
0,1,0,1,0,1,3,0.0,400
0,1,0,1,1,0,3,0.0,400
0,1,1,0,0,1,3,0.0775,400
0,1,1,0,1,0,3,0.045,400
0,1,1,1,0,0,3,0.0025,400
1,0,0,0,1,1,3,0.025,400
1,0,0,1,0,1,3,0.005,400
1,0,0,1,1,0,3,0.0075,400
1,0,1,0,0,1,3,0.3325,400
1,0,1,0,1,0,3,0.45,400
1,0,1,1,0,0,3,0.115,400
1,1,0,0,0,1,3,0.01,400
1,1,0,0,1,0,3,0.01,400
1,1,0,1,0,0,3,0.0,400
1,1,1,0,0,0,3,0.0425,400
0,0,1,1,1,1,4,0.2375,400
0,1,0,1,1,1,4,0.0,400
0,1,1,0,1,1,4,0.1125,400
0,1,1,1,0,1,4,0.0025,400
0,1,1,1,1,0,4,0.0025,400
1,0,0,1,1,1,4,0.0075,400
1,0,1,0,1,1,4,0.5525,400
1,0,1,1,0,1,4,0.12,400
1,0,1,1,1,0,4,0.2675,400
1,1,0,0,1,1,4,0.015,400
1,1,0,1,0,1,4,0.0,400
1,1,0,1,1,0,4,0.0,400
1,1,1,0,0,1,4,0.095,400
1,1,1,0,1,0,4,0.0525,400
1,1,1,1,0,0,4,0.0025,400
0,1,1,1,1,1,5,0.0025,400
1,0,1,1,1,1,5,0.28,400
1,1,0,1,1,1,5,0.0,400
1,1,1,0,1,1,5,0.1225,400
1,1,1,1,0,1,5,0.0025,400
1,1,1,1,1,0,5,0.0025,400
1,1,1,1,1,1,6,0.0025,400
