AIR,MASS,HOLD,COMMAND,RESPONSE,DENIAL,RISK,n_swapped,p,n
0,0,0,0,0,0,0,0,0.011,1000
0,0,0,0,0,0,1,1,0.013,1000
0,0,0,0,0,1,0,1,0.011,1000
0,0,0,0,1,0,0,1,0.007,1000
0,0,0,1,0,0,0,1,0.011,1000
0,0,1,0,0,0,0,1,0.261,1000
0,1,0,0,0,0,0,1,0.005,1000
1,0,0,0,0,0,0,1,0.014,1000
0,0,0,0,0,1,1,2,0.016,1000
0,0,0,0,1,0,1,2,0.008,1000
0,0,0,0,1,1,0,2,0.008,1000
0,0,0,1,0,0,1,2,0.013,1000
0,0,0,1,0,1,0,2,0.011,1000
0,0,0,1,1,0,0,2,0.007,1000
0,0,1,0,0,0,1,2,0.408,1000
0,0,1,0,0,1,0,2,0.398,1000
0,0,1,0,1,0,0,2,0.178,1000
0,0,1,1,0,0,0,2,0.261,1000
0,1,0,0,0,0,1,2,0.006,1000
0,1,0,0,0,1,0,2,0.005,1000
0,1,0,0,1,0,0,2,0.0,1000
0,1,0,1,0,0,0,2,0.005,1000
0,1,1,0,0,0,0,2,0.04,1000
1,0,0,0,0,0,1,2,0.016,1000
1,0,0,0,0,1,0,2,0.018,1000
1,0,0,0,1,0,0,2,0.007,1000
1,0,0,1,0,0,0,2,0.014,1000
1,0,1,0,0,0,0,2,0.366,1000
1,1,0,0,0,0,0,2,0.005,1000
0,0,0,0,1,1,1,3,0.009,1000
0,0,0,1,0,1,1,3,0.016,1000
0,0,0,1,1,0,1,3,0.008,1000
0,0,0,1,1,1,0,3,0.008,1000
0,0,1,0,0,1,1,3,0.573,1000
0,0,1,0,1,0,1,3,0.203,1000
0,0,1,0,1,1,0,3,0.317,1000
0,0,1,1,0,0,1,3,0.408,1000
0,0,1,1,0,1,0,3,0.398,1000
0,0,1,1,1,0,0,3,0.178,1000
0,1,0,0,0,1,1,3,0.006,1000
0,1,0,0,1,0,1,3,0.0,1000
0,1,0,0,1,1,0,3,0.0,1000
0,1,0,1,0,0,1,3,0.006,1000
0,1,0,1,0,1,0,3,0.005,1000
0,1,0,1,1,0,0,3,0.0,1000
0,1,1,0,0,0,1,3,0.085,1000
0,1,1,0,0,1,0,3,0.05,1000
0,1,1,0,1,0,0,3,0.001,1000
0,1,1,1,0,0,0,3,0.04,1000
1,0,0,0,0,1,1,3,0.022,1000
1,0,0,0,1,0,1,3,0.008,1000
1,0,0,0,1,1,0,3,0.01,1000
1,0,0,1,0,0,1,3,0.016,1000
1,0,0,1,0,1,0,3,0.018,1000
1,0,0,1,1,0,0,3,0.007,1000
1,0,1,0,0,0,1,3,0.491,1000
1,0,1,0,0,1,0,3,0.513,1000
1,0,1,0,1,0,0,3,0.242,1000
1,0,1,1,0,0,0,3,0.366,1000
1,1,0,0,0,0,1,3,0.006,1000
1,1,0,0,0,1,0,3,0.005,1000
1,1,0,0,1,0,0,3,0.0,1000
1,1,0,1,0,0,0,3,0.005,1000
1,1,1,0,0,0,0,3,0.045,1000
0,0,0,1,1,1,1,4,0.009,1000
0,0,1,0,1,1,1,4,0.354,1000
0,0,1,1,0,1,1,4,0.573,1000
0,0,1,1,1,0,1,4,0.203,1000
0,0,1,1,1,1,0,4,0.317,1000
0,1,0,0,1,1,1,4,0.001,1000
0,1,0,1,0,1,1,4,0.006,1000
0,1,0,1,1,0,1,4,0.0,1000
0,1,0,1,1,1,0,4,0.0,1000
0,1,1,0,0,1,1,4,0.119,1000
0,1,1,0,1,0,1,4,0.003,1000
0,1,1,0,1,1,0,4,0.004,1000
0,1,1,1,0,0,1,4,0.085,1000
0,1,1,1,0,1,0,4,0.05,1000
0,1,1,1,1,0,0,4,0.001,1000
1,0,0,0,1,1,1,4,0.011,1000
1,0,0,1,0,1,1,4,0.022,1000
1,0,0,1,1,0,1,4,0.008,1000
1,0,0,1,1,1,0,4,0.01,1000
1,0,1,0,0,1,1,4,0.633,1000
1,0,1,0,1,0,1,4,0.266,1000
1,0,1,0,1,1,0,4,0.377,1000
1,0,1,1,0,0,1,4,0.491,1000
1,0,1,1,0,1,0,4,0.513,1000
1,0,1,1,1,0,0,4,0.242,1000
1,1,0,0,0,1,1,4,0.006,1000
1,1,0,0,1,0,1,4,0.0,1000
1,1,0,0,1,1,0,4,0.0,1000
1,1,0,1,0,0,1,4,0.006,1000
1,1,0,1,0,1,0,4,0.005,1000
1,1,0,1,1,0,0,4,0.0,1000
1,1,1,0,0,0,1,4,0.094,1000
1,1,1,0,0,1,0,4,0.055,1000
1,1,1,0,1,0,0,4,0.002,1000
1,1,1,1,0,0,0,4,0.045,1000
0,0,1,1,1,1,1,5,0.354,1000
0,1,0,1,1,1,1,5,0.001,1000
0,1,1,0,1,1,1,5,0.008,1000
0,1,1,1,0,1,1,5,0.119,1000
0,1,1,1,1,0,1,5,0.003,1000
0,1,1,1,1,1,0,5,0.004,1000
1,0,0,1,1,1,1,5,0.011,1000
1,0,1,0,1,1,1,5,0.397,1000
1,0,1,1,0,1,1,5,0.633,1000
1,0,1,1,1,0,1,5,0.266,1000
1,0,1,1,1,1,0,5,0.377,1000
1,1,0,0,1,1,1,5,0.0,1000
1,1,0,1,0,1,1,5,0.006,1000
1,1,0,1,1,0,1,5,0.0,1000
1,1,0,1,1,1,0,5,0.0,1000
1,1,1,0,0,1,1,5,0.119,1000
1,1,1,0,1,0,1,5,0.004,1000
1,1,1,0,1,1,0,5,0.004,1000
1,1,1,1,0,0,1,5,0.094,1000
1,1,1,1,0,1,0,5,0.055,1000
1,1,1,1,1,0,0,5,0.002,1000
0,1,1,1,1,1,1,6,0.008,1000
1,0,1,1,1,1,1,6,0.397,1000
1,1,0,1,1,1,1,6,0.0,1000
1,1,1,0,1,1,1,6,0.008,1000
1,1,1,1,0,1,1,6,0.119,1000
1,1,1,1,1,0,1,6,0.004,1000
1,1,1,1,1,1,0,6,0.004,1000
1,1,1,1,1,1,1,7,0.008,1000
