AIR,MASS,HOLD,RESPONSE,DENIAL,RISK,n_swapped,p,n
0,0,0,0,0,0,0,0.3575,400
0,0,0,0,0,1,1,0.8925,400
0,0,0,0,1,0,1,0.0,400
0,0,0,1,0,0,1,0.38,400
0,0,1,0,0,0,1,0.005,400
0,1,0,0,0,0,1,0.4575,400
1,0,0,0,0,0,1,0.6175,400
0,0,0,0,1,1,2,0.895,400
0,0,0,1,0,1,2,0.9375,400
0,0,0,1,1,0,2,0.0,400
0,0,1,0,0,1,2,0.01,400
0,0,1,0,1,0,2,0.0,400
0,0,1,1,0,0,2,0.005,400
0,1,0,0,0,1,2,0.93,400
0,1,0,0,1,0,2,0.0,400
0,1,0,1,0,0,2,0.48,400
0,1,1,0,0,0,2,0.01,400
1,0,0,0,0,1,2,0.9075,400
1,0,0,0,1,0,2,0.0,400
1,0,0,1,0,0,2,0.635,400
1,0,1,0,0,0,2,0.005,400
1,1,0,0,0,0,2,0.685,400
0,0,0,1,1,1,3,0.94,400
0,0,1,0,1,1,3,0.0075,400
0,0,1,1,0,1,3,0.01,400
0,0,1,1,1,0,3,0.0,400
0,1,0,0,1,1,3,0.965,400
0,1,0,1,0,1,3,0.9725,400
0,1,0,1,1,0,3,0.0,400
0,1,1,0,0,1,3,0.0175,400
0,1,1,0,1,0,3,0.0,400
0,1,1,1,0,0,3,0.01,400
1,0,0,0,1,1,3,0.9,400
1,0,0,1,0,1,3,0.9525,400
1,0,0,1,1,0,3,0.0,400
1,0,1,0,0,1,3,0.01,400
1,0,1,0,1,0,3,0.0,400
1,0,1,1,0,0,3,0.005,400
1,1,0,0,0,1,3,0.9475,400
1,1,0,0,1,0,3,0.0,400
1,1,0,1,0,0,3,0.6975,400
1,1,1,0,0,0,3,0.0125,400
0,0,1,1,1,1,4,0.0075,400
0,1,0,1,1,1,4,0.985,400
0,1,1,0,1,1,4,0.0125,400
0,1,1,1,0,1,4,0.0175,400
0,1,1,1,1,0,4,0.0,400
1,0,0,1,1,1,4,0.945,400
1,0,1,0,1,1,4,0.0075,400
1,0,1,1,0,1,4,0.01,400
1,0,1,1,1,0,4,0.0,400
1,1,0,0,1,1,4,0.9675,400
1,1,0,1,0,1,4,0.9825,400
1,1,0,1,1,0,4,0.0,400
1,1,1,0,0,1,4,0.0175,400
1,1,1,0,1,0,4,0.0,400
1,1,1,1,0,0,4,0.0125,400
0,1,1,1,1,1,5,0.0125,400
1,0,1,1,1,1,5,0.0075,400
1,1,0,1,1,1,5,0.985,400
1,1,1,0,1,1,5,0.0125,400
1,1,1,1,0,1,5,0.0175,400
1,1,1,1,1,0,5,0.0,400
1,1,1,1,1,1,6,0.0125,400
