AIR,MASS,HOLD,COMMAND,RESPONSE,DENIAL,RISK,n_swapped,p,n
0,0,0,0,0,0,0,0,0.329,1000
0,0,0,0,0,0,1,1,0.899,1000
0,0,0,0,0,1,0,1,0.0,1000
0,0,0,0,1,0,0,1,0.346,1000
0,0,0,1,0,0,0,1,0.329,1000
0,0,1,0,0,0,0,1,0.002,1000
0,1,0,0,0,0,0,1,0.435,1000
1,0,0,0,0,0,0,1,0.601,1000
0,0,0,0,0,1,1,2,0.948,1000
0,0,0,0,1,0,1,2,0.945,1000
0,0,0,0,1,1,0,2,0.0,1000
0,0,0,1,0,0,1,2,0.899,1000
0,0,0,1,0,1,0,2,0.0,1000
0,0,0,1,1,0,0,2,0.346,1000
0,0,1,0,0,0,1,2,0.004,1000
0,0,1,0,0,1,0,2,0.0,1000
0,0,1,0,1,0,0,2,0.002,1000
0,0,1,1,0,0,0,2,0.002,1000
0,1,0,0,0,0,1,2,0.939,1000
0,1,0,0,0,1,0,2,0.0,1000
0,1,0,0,1,0,0,2,0.449,1000
0,1,0,1,0,0,0,2,0.435,1000
0,1,1,0,0,0,0,2,0.006,1000
1,0,0,0,0,0,1,2,0.917,1000
1,0,0,0,0,1,0,2,0.0,1000
1,0,0,0,1,0,0,2,0.618,1000
1,0,0,1,0,0,0,2,0.601,1000
1,0,1,0,0,0,0,2,0.002,1000
1,1,0,0,0,0,0,2,0.666,1000
0,0,0,0,1,1,1,3,0.987,1000
0,0,0,1,0,1,1,3,0.948,1000
0,0,0,1,1,0,1,3,0.945,1000
0,0,0,1,1,1,0,3,0.0,1000
0,0,1,0,0,1,1,3,0.003,1000
0,0,1,0,1,0,1,3,0.004,1000
0,0,1,0,1,1,0,3,0.0,1000
0,0,1,1,0,0,1,3,0.004,1000
0,0,1,1,0,1,0,3,0.0,1000
0,0,1,1,1,0,0,3,0.002,1000
0,1,0,0,0,1,1,3,0.981,1000
0,1,0,0,1,0,1,3,0.977,1000
0,1,0,0,1,1,0,3,0.0,1000
0,1,0,1,0,0,1,3,0.939,1000
0,1,0,1,0,1,0,3,0.0,1000
0,1,0,1,1,0,0,3,0.449,1000
0,1,1,0,0,0,1,3,0.013,1000
0,1,1,0,0,1,0,3,0.0,1000
0,1,1,0,1,0,0,3,0.006,1000
0,1,1,1,0,0,0,3,0.006,1000
1,0,0,0,0,1,1,3,0.953,1000
1,0,0,0,1,0,1,3,0.961,1000
1,0,0,0,1,1,0,3,0.0,1000
1,0,0,1,0,0,1,3,0.917,1000
1,0,0,1,0,1,0,3,0.0,1000
1,0,0,1,1,0,0,3,0.618,1000
1,0,1,0,0,0,1,3,0.004,1000
1,0,1,0,0,1,0,3,0.0,1000
1,0,1,0,1,0,0,3,0.002,1000
1,0,1,1,0,0,0,3,0.002,1000
1,1,0,0,0,0,1,3,0.955,1000
1,1,0,0,0,1,0,3,0.0,1000
1,1,0,0,1,0,0,3,0.677,1000
1,1,0,1,0,0,0,3,0.666,1000
1,1,1,0,0,0,0,3,0.01,1000
0,0,0,1,1,1,1,4,0.987,1000
0,0,1,0,1,1,1,4,0.003,1000
0,0,1,1,0,1,1,4,0.003,1000
0,0,1,1,1,0,1,4,0.004,1000
0,0,1,1,1,1,0,4,0.0,1000
0,1,0,0,1,1,1,4,0.995,1000
0,1,0,1,0,1,1,4,0.981,1000
0,1,0,1,1,0,1,4,0.977,1000
0,1,0,1,1,1,0,4,0.0,1000
0,1,1,0,0,1,1,4,0.013,1000
