AIR,MASS,HOLD,RESPONSE,DENIAL,RISK,n_swapped,p,n
0,0,0,0,0,0,0,0.329,1000
0,0,0,0,0,1,1,0.899,1000
0,0,0,0,1,0,1,0.0,1000
0,0,0,1,0,0,1,0.346,1000
0,0,1,0,0,0,1,0.0,1000
0,1,0,0,0,0,1,0.459,1000
1,0,0,0,0,0,1,0.626,1000
0,0,0,0,1,1,2,0.952,1000
0,0,0,1,0,1,2,0.945,1000
0,0,0,1,1,0,2,0.0,1000
0,0,1,0,0,1,2,0.0,1000
0,0,1,0,1,0,2,0.0,1000
0,0,1,1,0,0,2,0.0,1000
0,1,0,0,0,1,2,0.946,1000
0,1,0,0,1,0,2,0.0,1000
0,1,0,1,0,0,2,0.47,1000
0,1,1,0,0,0,2,0.0,1000
1,0,0,0,0,1,2,0.94,1000
1,0,0,0,1,0,2,0.366,1000
1,0,0,1,0,0,2,0.641,1000
1,0,1,0,0,0,2,0.0,1000
1,1,0,0,0,0,2,0.703,1000
0,0,0,1,1,1,3,0.992,1000
0,0,1,0,1,1,3,0.0,1000
0,0,1,1,0,1,3,0.0,1000
0,0,1,1,1,0,3,0.0,1000
0,1,0,0,1,1,3,0.991,1000
0,1,0,1,0,1,3,0.981,1000
0,1,0,1,1,0,3,0.0,1000
0,1,1,0,0,1,3,0.0,1000
0,1,1,0,1,0,3,0.0,1000
0,1,1,1,0,0,3,0.0,1000
1,0,0,0,1,1,3,0.977,1000
1,0,0,1,0,1,3,0.976,1000
1,0,0,1,1,0,3,0.373,1000
1,0,1,0,0,1,3,0.001,1000
1,0,1,0,1,0,3,0.002,1000
1,0,1,1,0,0,3,0.0,1000
1,1,0,0,0,1,3,0.993,1000
1,1,0,0,1,0,3,0.373,1000
1,1,0,1,0,0,3,0.703,1000
1,1,1,0,0,0,3,0.0,1000
0,0,1,1,1,1,4,0.011,1000
0,1,0,1,1,1,4,0.997,1000
0,1,1,0,1,1,4,0.162,1000
0,1,1,1,0,1,4,0.0,1000
0,1,1,1,1,0,4,0.0,1000
1,0,0,1,1,1,4,0.993,1000
1,0,1,0,1,1,4,0.006,1000
1,0,1,1,0,1,4,0.002,1000
1,0,1,1,1,0,4,0.012,1000
1,1,0,0,1,1,4,0.998,1000
1,1,0,1,0,1,4,0.998,1000
1,1,0,1,1,0,4,0.373,1000
1,1,1,0,0,1,4,0.044,1000
1,1,1,0,1,0,4,0.171,1000
1,1,1,1,0,0,4,0.0,1000
0,1,1,1,1,1,5,0.471,1000
1,0,1,1,1,1,5,0.049,1000
1,1,0,1,1,1,5,0.998,1000
1,1,1,0,1,1,5,0.541,1000
1,1,1,1,0,1,5,0.059,1000
1,1,1,1,1,0,5,0.231,1000
1,1,1,1,1,1,6,0.742,1000
