AIR,MASS,HOLD,COMMAND,RESPONSE,DENIAL,RISK,n_swapped,p,n
0,0,0,0,0,0,0,0,0.3575,400
0,0,0,0,0,0,1,1,0.8925,400
0,0,0,0,0,1,0,1,0.0,400
0,0,0,0,1,0,0,1,0.38,400
0,0,0,1,0,0,0,1,0.3575,400
0,0,1,0,0,0,0,1,0.005,400
0,1,0,0,0,0,0,1,0.4475,400
1,0,0,0,0,0,0,1,0.62,400
0,0,0,0,0,1,1,2,0.9025,400
0,0,0,0,1,0,1,2,0.9375,400
0,0,0,0,1,1,0,2,0.0,400
0,0,0,1,0,0,1,2,0.8925,400
0,0,0,1,0,1,0,2,0.0,400
0,0,0,1,1,0,0,2,0.38,400
0,0,1,0,0,0,1,2,0.01,400
0,0,1,0,0,1,0,2,0.0,400
0,0,1,0,1,0,0,2,0.005,400
0,0,1,1,0,0,0,2,0.005,400
0,1,0,0,0,0,1,2,0.9275,400
0,1,0,0,0,1,0,2,0.0,400
0,1,0,0,1,0,0,2,0.47,400
0,1,0,1,0,0,0,2,0.4475,400
0,1,1,0,0,0,0,2,0.0125,400
1,0,0,0,0,0,1,2,0.915,400
1,0,0,0,0,1,0,2,0.0075,400
1,0,0,0,1,0,0,2,0.6375,400
1,0,0,1,0,0,0,2,0.62,400
1,0,1,0,0,0,0,2,0.005,400
1,1,0,0,0,0,0,2,0.6725,400
0,0,0,0,1,1,1,3,0.945,400
0,0,0,1,0,1,1,3,0.9025,400
0,0,0,1,1,0,1,3,0.9375,400
0,0,0,1,1,1,0,3,0.0,400
0,0,1,0,0,1,1,3,0.01,400
0,0,1,0,1,0,1,3,0.01,400
0,0,1,0,1,1,0,3,0.0,400
0,0,1,1,0,0,1,3,0.01,400
0,0,1,1,0,1,0,3,0.0,400
0,0,1,1,1,0,0,3,0.005,400
0,1,0,0,0,1,1,3,0.9625,400
0,1,0,0,1,0,1,3,0.97,400
0,1,0,0,1,1,0,3,0.0,400
0,1,0,1,0,0,1,3,0.9275,400
0,1,0,1,0,1,0,3,0.0,400
0,1,0,1,1,0,0,3,0.47,400
0,1,1,0,0,0,1,3,0.0275,400
0,1,1,0,0,1,0,3,0.0,400
0,1,1,0,1,0,0,3,0.0125,400
0,1,1,1,0,0,0,3,0.0125,400
1,0,0,0,0,1,1,3,0.91,400
1,0,0,0,1,0,1,3,0.9575,400
1,0,0,0,1,1,0,3,0.0125,400
1,0,0,1,0,0,1,3,0.915,400
1,0,0,1,0,1,0,3,0.0075,400
1,0,0,1,1,0,0,3,0.6375,400
1,0,1,0,0,0,1,3,0.01,400
1,0,1,0,0,1,0,3,0.0,400
1,0,1,0,1,0,0,3,0.005,400
1,0,1,1,0,0,0,3,0.005,400
1,1,0,0,0,0,1,3,0.9425,400
1,1,0,0,0,1,0,3,0.01,400
1,1,0,0,1,0,0,3,0.69,400
1,1,0,1,0,0,0,3,0.6725,400
1,1,1,0,0,0,0,3,0.02,400
0,0,0,1,1,1,1,4,0.945,400
0,0,1,0,1,1,1,4,0.01,400
0,0,1,1,0,1,1,4,0.01,400
0,0,1,1,1,0,1,4,0.01,400
0,0,1,1,1,1,0,4,0.0,400
0,1,0,0,1,1,1,4,0.985,400
0,1,0,1,0,1,1,4,0.9625,400
0,1,0,1,1,0,1,4,0.97,400
0,1,0,1,1,1,0,4,0.0,400
0,1,1,0,0,1,1,4,0.02,400
0,1,1,0,1,0,1,4,0.0275,400
0,1,1,0,1,1,0,4,0.0,400
0,1,1,1,0,0,1,4,0.0275,400
0,1,1,1,0,1,0,4,0.0,400
0,1,1,1,1,0,0,4,0.0125,400
1,0,0,0,1,1,1,4,0.9525,400
1,0,0,1,0,1,1,4,0.91,400
1,0,0,1,1,0,1,4,0.9575,400
1,0,0,1,1,1,0,4,0.0125,400
1,0,1,0,0,1,1,4,0.01,400
1,0,1,0,1,0,1,4,0.01,400
1,0,1,0,1,1,0,4,0.0,400
1,0,1,1,0,0,1,4,0.01,400
1,0,1,1,0,1,0,4,0.0,400
1,0,1,1,1,0,0,4,0.005,400
1,1,0,0,0,1,1,4,0.9675,400
1,1,0,0,1,0,1,4,0.9825,400
1,1,0,0,1,1,0,4,0.0125,400
1,1,0,1,0,0,1,4,0.9425,400
1,1,0,1,0,1,0,4,0.01,400
1,1,0,1,1,0,0,4,0.69,400
1,1,1,0,0,0,1,4,0.0275,400
1,1,1,0,0,1,0,4,0.0,400
1,1,1,0,1,0,0,4,0.02,400
1,1,1,1,0,0,0,4,0.02,400
0,0,1,1,1,1,1,5,0.01,400
0,1,0,1,1,1,1,5,0.985,400
0,1,1,0,1,1,1,5,0.02,400
0,1,1,1,0,1,1,5,0.02,400
0,1,1,1,1,0,1,5,0.0275,400
0,1,1,1,1,1,0,5,0.0,400
1,0,0,1,1,1,1,5,0.9525,400
1,0,1,0,1,1,1,5,0.01,400
1,0,1,1,0,1,1,5,0.01,400
1,0,1,1,1,0,1,5,0.01,400
1,0,1,1,1,1,0,5,0.0,400
1,1,0,0,1,1,1,5,0.985,400
1,1,0,1,0,1,1,5,0.9675,400
1,1,0,1,1,0,1,5,0.9825,400
1,1,0,1,1,1,0,5,0.0125,400
1,1,1,0,0,1,1,5,0.0225,400
1,1,1,0,1,0,1,5,0.0275,400
1,1,1,0,1,1,0,5,0.0,400
1,1,1,1,0,0,1,5,0.0275,400
1,1,1,1,0,1,0,5,0.0,400
1,1,1,1,1,0,0,5,0.02,400
0,1,1,1,1,1,1,6,0.02,400
1,0,1,1,1,1,1,6,0.01,400
1,1,0,1,1,1,1,6,0.985,400
1,1,1,0,1,1,1,6,0.0225,400
1,1,1,1,0,1,1,6,0.0225,400
1,1,1,1,1,0,1,6,0.0275,400
1,1,1,1,1,1,0,6,0.0,400
1,1,1,1,1,1,1,7,0.0225,400
