AIR,MASS,HOLD,COMMAND,RESPONSE,DENIAL,RISK,n_swapped,p,n
0,0,0,0,0,0,0,0,0.329,1000
0,0,0,0,0,0,1,1,0.899,1000
0,0,0,0,0,1,0,1,0.0,1000
0,0,0,0,1,0,0,1,0.346,1000
0,0,0,1,0,0,0,1,0.329,1000
0,0,1,0,0,0,0,1,0.003,1000
0,1,0,0,0,0,0,1,0.407,1000
1,0,0,0,0,0,0,1,0.606,1000
0,0,0,0,0,1,1,2,0.952,1000
0,0,0,0,1,0,1,2,0.945,1000
0,0,0,0,1,1,0,2,0.0,1000
0,0,0,1,0,0,1,2,0.899,1000
0,0,0,1,0,1,0,2,0.0,1000
0,0,0,1,1,0,0,2,0.346,1000
0,0,1,0,0,0,1,2,0.005,1000
0,0,1,0,0,1,0,2,0.0,1000
0,0,1,0,1,0,0,2,0.003,1000
0,0,1,1,0,0,0,2,0.003,1000
0,1,0,0,0,0,1,2,0.934,1000
0,1,0,0,0,1,0,2,0.0,1000
0,1,0,0,1,0,0,2,0.423,1000
0,1,0,1,0,0,0,2,0.407,1000
0,1,1,0,0,0,0,2,0.009,1000
1,0,0,0,0,0,1,2,0.926,1000
1,0,0,0,0,1,0,2,0.02,1000
1,0,0,0,1,0,0,2,0.623,1000
1,0,0,1,0,0,0,2,0.606,1000
1,0,1,0,0,0,0,2,0.005,1000
1,1,0,0,0,0,0,2,0.656,1000
0,0,0,0,1,1,1,3,0.989,1000
0,0,0,1,0,1,1,3,0.952,1000
0,0,0,1,1,0,1,3,0.945,1000
0,0,0,1,1,1,0,3,0.0,1000
0,0,1,0,0,1,1,3,0.004,1000
0,0,1,0,1,0,1,3,0.005,1000
0,0,1,0,1,1,0,3,0.0,1000
0,0,1,1,0,0,1,3,0.005,1000
0,0,1,1,0,1,0,3,0.0,1000
0,0,1,1,1,0,0,3,0.003,1000
0,1,0,0,0,1,1,3,0.98,1000
0,1,0,0,1,0,1,3,0.974,1000
0,1,0,0,1,1,0,3,0.0,1000
0,1,0,1,0,0,1,3,0.934,1000
0,1,0,1,0,1,0,3,0.0,1000
0,1,0,1,1,0,0,3,0.423,1000
0,1,1,0,0,0,1,3,0.021,1000
0,1,1,0,0,1,0,3,0.0,1000
0,1,1,0,1,0,0,3,0.009,1000
0,1,1,1,0,0,0,3,0.009,1000
1,0,0,0,0,1,1,3,0.957,1000
1,0,0,0,1,0,1,3,0.968,1000
1,0,0,0,1,1,0,3,0.023,1000
1,0,0,1,0,0,1,3,0.926,1000
1,0,0,1,0,1,0,3,0.02,1000
1,0,0,1,1,0,0,3,0.623,1000
1,0,1,0,0,0,1,3,0.007,1000
1,0,1,0,0,1,0,3,0.0,1000
1,0,1,0,1,0,0,3,0.005,1000
1,0,1,1,0,0,0,3,0.005,1000
1,1,0,0,0,0,1,3,0.953,1000
1,1,0,0,0,1,0,3,0.023,1000
1,1,0,0,1,0,0,3,0.671,1000
1,1,0,1,0,0,0,3,0.656,1000
1,1,1,0,0,0,0,3,0.016,1000
0,0,0,1,1,1,1,4,0.989,1000
0,0,1,0,1,1,1,4,0.004,1000
0,0,1,1,0,1,1,4,0.004,1000
0,0,1,1,1,0,1,4,0.005,1000
0,0,1,1,1,1,0,4,0.0,1000
0,1,0,0,1,1,1,4,0.996,1000
0,1,0,1,0,1,1,4,0.98,1000
0,1,0,1,1,0,1,4,0.974,1000
0,1,0,1,1,1,0,4,0.0,1000
0,1,1,0,0,1,1,4,0.019,1000
