AIR,MASS,HOLD,COMMAND,RESPONSE,DENIAL,RISK,n_swapped,p,n
0,0,0,0,0,0,0,0,0.3575,400
0,0,0,0,0,0,1,1,0.93,400
0,0,0,0,0,1,0,1,0.5975,400
0,0,0,0,1,0,0,1,0.3475,400
0,0,0,1,0,0,0,1,0.3575,400
0,0,1,0,0,0,0,1,0.035,400
0,1,0,0,0,0,0,1,0.29,400
1,0,0,0,0,0,0,1,0.0275,400
0,0,0,0,0,1,1,2,0.9825,400
0,0,0,0,1,0,1,2,0.9025,400
0,0,0,0,1,1,0,2,0.5875,400
0,0,0,1,0,0,1,2,0.93,400
0,0,0,1,0,1,0,2,0.5975,400
0,0,0,1,1,0,0,2,0.3475,400
0,0,1,0,0,0,1,2,0.095,400
0,0,1,0,0,1,0,2,0.0675,400
0,0,1,0,1,0,0,2,0.0325,400
0,0,1,1,0,0,0,2,0.035,400
0,1,0,0,0,0,1,2,0.8725,400
0,1,0,0,0,1,0,2,0.5725,400
0,1,0,0,1,0,0,2,0.2825,400
0,1,0,1,0,0,0,2,0.29,400
0,1,1,0,0,0,0,2,0.035,400
1,0,0,0,0,0,1,2,0.945,400
1,0,0,0,0,1,0,2,0.0525,400
1,0,0,0,1,0,0,2,0.025,400
1,0,0,1,0,0,0,2,0.0275,400
1,0,1,0,0,0,0,2,0.0,400
1,1,0,0,0,0,0,2,0.025,400
0,0,0,0,1,1,1,3,0.97,400
0,0,0,1,0,1,1,3,0.9825,400
0,0,0,1,1,0,1,3,0.9025,400
0,0,0,1,1,1,0,3,0.5875,400
0,0,1,0,0,1,1,3,0.5025,400
0,0,1,0,1,0,1,3,0.0875,400
0,0,1,0,1,1,0,3,0.065,400
0,0,1,1,0,0,1,3,0.095,400
0,0,1,1,0,1,0,3,0.0675,400
0,0,1,1,1,0,0,3,0.0325,400
0,1,0,0,0,1,1,3,0.94,400
0,1,0,0,1,0,1,3,0.8375,400
0,1,0,0,1,1,0,3,0.5625,400
0,1,0,1,0,0,1,3,0.8725,400
0,1,0,1,0,1,0,3,0.5725,400
0,1,0,1,1,0,0,3,0.2825,400
0,1,1,0,0,0,1,3,0.1025,400
0,1,1,0,0,1,0,3,0.0775,400
0,1,1,0,1,0,0,3,0.0325,400
0,1,1,1,0,0,0,3,0.035,400
1,0,0,0,0,1,1,3,0.9825,400
1,0,0,0,1,0,1,3,0.9225,400
1,0,0,0,1,1,0,3,0.0525,400
1,0,0,1,0,0,1,3,0.945,400
1,0,0,1,0,1,0,3,0.0525,400
1,0,0,1,1,0,0,3,0.025,400
