AIR,MASS,HOLD,RESPONSE,DENIAL,RISK,n_swapped,p,n
0,0,0,0,0,0,0,0.329,1000
0,0,0,0,0,1,1,0.94,1000
0,0,0,0,1,0,1,0.602,1000
0,0,0,1,0,0,1,0.317,1000
0,0,1,0,0,0,1,0.032,1000
0,1,0,0,0,0,1,0.301,1000
1,0,0,0,0,0,1,0.022,1000
0,0,0,0,1,1,2,0.991,1000
0,0,0,1,0,1,2,0.917,1000
0,0,0,1,1,0,2,0.585,1000
0,0,1,0,0,1,2,0.091,1000
0,0,1,0,1,0,2,0.066,1000
0,0,1,1,0,0,2,0.031,1000
0,1,0,0,0,1,2,0.917,1000
0,1,0,0,1,0,2,0.594,1000
0,1,0,1,0,0,2,0.289,1000
0,1,1,0,0,0,2,0.032,1000
1,0,0,0,0,1,2,0.951,1000
1,0,0,0,1,0,2,0.066,1000
1,0,0,1,0,0,2,0.02,1000
1,0,1,0,0,0,2,0.002,1000
1,1,0,0,0,0,2,0.02,1000
0,0,0,1,1,1,3,0.987,1000
0,0,1,0,1,1,3,0.622,1000
0,0,1,1,0,1,3,0.09,1000
0,0,1,1,1,0,3,0.064,1000
0,1,0,0,1,1,3,0.982,1000
0,1,0,1,0,1,3,0.891,1000
0,1,0,1,1,0,3,0.577,1000
0,1,1,0,0,1,3,0.09,1000
0,1,1,0,1,0,3,0.067,1000
0,1,1,1,0,0,3,0.031,1000
1,0,0,0,1,1,3,0.989,1000
1,0,0,1,0,1,3,0.925,1000
1,0,0,1,1,0,3,0.063,1000
1,0,1,0,0,1,3,0.102,1000
1,0,1,0,1,0,3,0.007,1000
1,0,1,1,0,0,3,0.002,1000
1,1,0,0,0,1,3,0.93,1000
1,1,0,0,1,0,3,0.065,1000
1,1,0,1,0,0,3,0.018,1000
1,1,1,0,0,0,3,0.002,1000
0,0,1,1,1,1,4,0.619,1000
0,1,0,1,1,1,4,0.976,1000
0,1,1,0,1,1,4,0.604,1000
0,1,1,1,0,1,4,0.087,1000
0,1,1,1,1,0,4,0.063,1000
1,0,0,1,1,1,4,0.983,1000
1,0,1,0,1,1,4,0.598,1000
1,0,1,1,0,1,4,0.101,1000
1,0,1,1,1,0,4,0.006,1000
1,1,0,0,1,1,4,0.984,1000
1,1,0,1,0,1,4,0.901,1000
1,1,0,1,1,0,4,0.062,1000
1,1,1,0,0,1,4,0.093,1000
1,1,1,0,1,0,4,0.006,1000
1,1,1,1,0,0,4,0.002,1000
0,1,1,1,1,1,5,0.602,1000
1,0,1,1,1,1,5,0.597,1000
1,1,0,1,1,1,5,0.977,1000
1,1,1,0,1,1,5,0.581,1000
1,1,1,1,0,1,5,0.092,1000
1,1,1,1,1,0,5,0.005,1000
1,1,1,1,1,1,6,0.582,1000
