AIR,MASS,HOLD,COMMAND,RESPONSE,DENIAL,RISK,n_swapped,p,n
0,0,0,0,0,0,0,0,0.662,1000
0,0,0,0,0,0,1,1,0.662,1000
0,0,0,0,0,1,0,1,0.628,1000
0,0,0,0,1,0,0,1,0.419,1000
0,0,0,1,0,0,0,1,0.645,1000
0,0,1,0,0,0,0,1,0.007,1000
0,1,0,0,0,0,0,1,0.507,1000
1,0,0,0,0,0,0,1,0.396,1000
0,0,0,0,0,1,1,2,0.628,1000
0,0,0,0,1,0,1,2,0.419,1000
0,0,0,0,1,1,0,2,0.353,1000
0,0,0,1,0,0,1,2,0.645,1000
0,0,0,1,0,1,0,2,0.608,1000
0,0,0,1,1,0,0,2,0.481,1000
0,0,1,0,0,0,1,2,0.007,1000
0,0,1,0,0,1,0,2,0.006,1000
0,0,1,0,1,0,0,2,0.001,1000
0,0,1,1,0,0,0,2,0.027,1000
0,1,0,0,0,0,1,2,0.507,1000
0,1,0,0,0,1,0,2,0.468,1000
0,1,0,0,1,0,0,2,0.274,1000
0,1,0,1,0,0,0,2,0.48,1000
0,1,1,0,0,0,0,2,0.003,1000
1,0,0,0,0,0,1,2,0.396,1000
1,0,0,0,0,1,0,2,0.337,1000
1,0,0,0,1,0,0,2,0.142,1000
1,0,0,1,0,0,0,2,0.378,1000
1,0,1,0,0,0,0,2,0.001,1000
1,1,0,0,0,0,0,2,0.262,1000
0,0,0,0,1,1,1,3,0.353,1000
0,0,0,1,0,1,1,3,0.608,1000
0,0,0,1,1,0,1,3,0.481,1000
0,0,0,1,1,1,0,3,0.397,1000
0,0,1,0,0,1,1,3,0.006,1000
0,0,1,0,1,0,1,3,0.001,1000
0,0,1,0,1,1,0,3,0.0,1000
0,0,1,1,0,0,1,3,0.027,1000
0,0,1,1,0,1,0,3,0.025,1000
0,0,1,1,1,0,0,3,0.019,1000
0,1,0,0,0,1,1,3,0.468,1000
0,1,0,0,1,0,1,3,0.274,1000
0,1,0,0,1,1,0,3,0.212,1000
0,1,0,1,0,0,1,3,0.48,1000
0,1,0,1,0,1,0,3,0.454,1000
0,1,0,1,1,0,0,3,0.314,1000
0,1,1,0,0,0,1,3,0.003,1000
0,1,1,0,0,1,0,3,0.001,1000
0,1,1,0,1,0,0,3,0.0,1000
0,1,1,1,0,0,0,3,0.025,1000
1,0,0,0,0,1,1,3,0.337,1000
1,0,0,0,1,0,1,3,0.142,1000
1,0,0,0,1,1,0,3,0.093,1000
1,0,0,1,0,0,1,3,0.378,1000
1,0,0,1,0,1,0,3,0.339,1000
1,0,0,1,1,0,0,3,0.172,1000
1,0,1,0,0,0,1,3,0.001,1000
1,0,1,0,0,1,0,3,0.001,1000
1,0,1,0,1,0,0,3,0.0,1000
1,0,1,1,0,0,0,3,0.016,1000
1,1,0,0,0,0,1,3,0.262,1000
1,1,0,0,0,1,0,3,0.214,1000
1,1,0,0,1,0,0,3,0.081,1000
1,1,0,1,0,0,0,3,0.281,1000
1,1,1,0,0,0,0,3,0.001,1000
0,0,0,1,1,1,1,4,0.397,1000
0,0,1,0,1,1,1,4,0.0,1000
0,0,1,1,0,1,1,4,0.025,1000
0,0,1,1,1,0,1,4,0.019,1000
0,0,1,1,1,1,0,4,0.014,1000
0,1,0,0,1,1,1,4,0.212,1000
0,1,0,1,0,1,1,4,0.454,1000
0,1,0,1,1,0,1,4,0.314,1000
0,1,0,1,1,1,0,4,0.253,1000
