AIR,MASS,HOLD,RESPONSE,DENIAL,RISK,n_swapped,p,n
0,0,0,0,0,0,0,0.693,1000
0,0,0,0,0,1,1,0.21,1000
0,0,0,0,1,0,1,0.176,1000
0,0,0,1,0,0,1,0.472,1000
0,0,1,0,0,0,1,0.998,1000
0,1,0,0,0,0,1,0.094,1000
1,0,0,0,0,0,1,0.42,1000
0,0,0,0,1,1,2,0.008,1000
0,0,0,1,0,1,2,0.146,1000
0,0,0,1,1,0,2,0.151,1000
0,0,1,0,0,1,2,0.354,1000
0,0,1,0,1,0,2,0.893,1000
0,0,1,1,0,0,2,0.986,1000
0,1,0,0,0,1,2,0.032,1000
0,1,0,0,1,0,2,0.054,1000
0,1,0,1,0,0,2,0.024,1000
0,1,1,0,0,0,2,0.991,1000
1,0,0,0,0,1,2,0.0,1000
1,0,0,0,1,0,2,0.062,1000
1,0,0,1,0,0,2,0.167,1000
1,0,1,0,0,0,2,0.997,1000
1,1,0,0,0,0,2,0.052,1000
0,0,0,1,1,1,3,0.008,1000
0,0,1,0,1,1,3,0.053,1000
0,0,1,1,0,1,3,0.347,1000
0,0,1,1,1,0,3,0.806,1000
0,1,0,0,1,1,3,0.002,1000
0,1,0,1,0,1,3,0.008,1000
0,1,0,1,1,0,3,0.008,1000
0,1,1,0,0,1,3,0.341,1000
0,1,1,0,1,0,3,0.699,1000
0,1,1,1,0,0,3,0.441,1000
1,0,0,0,1,1,3,0.002,1000
1,0,0,1,0,1,3,0.0,1000
1,0,0,1,1,0,3,0.011,1000
1,0,1,0,0,1,3,0.0,1000
1,0,1,0,1,0,3,0.68,1000
1,0,1,1,0,0,3,0.799,1000
1,1,0,0,0,1,3,0.0,1000
1,1,0,0,1,0,3,0.029,1000
1,1,0,1,0,0,3,0.008,1000
1,1,1,0,0,0,3,0.99,1000
0,0,1,1,1,1,4,0.053,1000
0,1,0,1,1,1,4,0.001,1000
0,1,1,0,1,1,4,0.032,1000
0,1,1,1,0,1,4,0.163,1000
0,1,1,1,1,0,4,0.168,1000
1,0,0,1,1,1,4,0.001,1000
1,0,1,0,1,1,4,0.017,1000
1,0,1,1,0,1,4,0.0,1000
1,0,1,1,1,0,4,0.155,1000
1,1,0,0,1,1,4,0.001,1000
1,1,0,1,0,1,4,0.0,1000
1,1,0,1,1,0,4,0.005,1000
1,1,1,0,0,1,4,0.0,1000
1,1,1,0,1,0,4,0.494,1000
1,1,1,1,0,0,4,0.144,1000
0,1,1,1,1,1,5,0.02,1000
1,0,1,1,1,1,5,0.017,1000
1,1,0,1,1,1,5,0.0,1000
1,1,1,0,1,1,5,0.006,1000
1,1,1,1,0,1,5,0.0,1000
1,1,1,1,1,0,5,0.018,1000
1,1,1,1,1,1,6,0.004,1000
