AIR,MASS,HOLD,COMMAND,RESPONSE,DENIAL,RISK,n_swapped,p,n
0,0,0,0,0,0,0,0,0.662,1000
0,0,0,0,0,0,1,1,0.194,1000
0,0,0,0,0,1,0,1,0.0,1000
0,0,0,0,1,0,0,1,0.283,1000
0,0,0,1,0,0,0,1,0.645,1000
0,0,1,0,0,0,0,1,0.998,1000
0,1,0,0,0,0,0,1,0.015,1000
1,0,0,0,0,0,0,1,0.39,1000
0,0,0,0,0,1,1,2,0.0,1000
0,0,0,0,1,0,1,2,0.106,1000
0,0,0,0,1,1,0,2,0.0,1000
0,0,0,1,0,0,1,2,0.21,1000
0,0,0,1,0,1,0,2,0.001,1000
0,0,0,1,1,0,0,2,0.447,1000
0,0,1,0,0,0,1,2,0.337,1000
0,0,1,0,0,1,0,2,0.001,1000
0,0,1,0,1,0,0,2,0.975,1000
0,0,1,1,0,0,0,2,0.998,1000
0,1,0,0,0,0,1,2,0.003,1000
0,1,0,0,0,1,0,2,0.0,1000
0,1,0,0,1,0,0,2,0.0,1000
0,1,0,1,0,0,0,2,0.094,1000
0,1,1,0,0,0,0,2,0.994,1000
1,0,0,0,0,0,1,2,0.0,1000
1,0,0,0,0,1,0,2,0.0,1000
1,0,0,0,1,0,0,2,0.083,1000
1,0,0,1,0,0,0,2,0.37,1000
1,0,1,0,0,0,0,2,0.997,1000
1,1,0,0,0,0,0,2,0.002,1000
0,0,0,0,1,1,1,3,0.0,1000
0,0,0,1,0,1,1,3,0.008,1000
0,0,0,1,1,0,1,3,0.146,1000
0,0,0,1,1,1,0,3,0.001,1000
0,0,1,0,0,1,1,3,0.015,1000
0,0,1,0,1,0,1,3,0.331,1000
0,0,1,0,1,1,0,3,0.0,1000
0,0,1,1,0,0,1,3,0.354,1000
0,0,1,1,0,1,0,3,0.003,1000
0,0,1,1,1,0,0,3,0.978,1000
0,1,0,0,0,1,1,3,0.0,1000
0,1,0,0,1,0,1,3,0.0,1000
0,1,0,0,1,1,0,3,0.0,1000
0,1,0,1,0,0,1,3,0.032,1000
0,1,0,1,0,1,0,3,0.001,1000
0,1,0,1,1,0,0,3,0.015,1000
0,1,1,0,0,0,1,3,0.335,1000
0,1,1,0,0,1,0,3,0.001,1000
0,1,1,0,1,0,0,3,0.221,1000
0,1,1,1,0,0,0,3,0.991,1000
1,0,0,0,0,1,1,3,0.0,1000
1,0,0,0,1,0,1,3,0.0,1000
1,0,0,0,1,1,0,3,0.0,1000
1,0,0,1,0,0,1,3,0.0,1000
1,0,0,1,0,1,0,3,0.0,1000
1,0,0,1,1,0,0,3,0.152,1000
1,0,1,0,0,0,1,3,0.0,1000
1,0,1,0,0,1,0,3,0.0,1000
1,0,1,0,1,0,0,3,0.709,1000
1,0,1,1,0,0,0,3,0.997,1000
1,1,0,0,0,0,1,3,0.0,1000
1,1,0,0,0,1,0,3,0.0,1000
1,1,0,0,1,0,0,3,0.0,1000
1,1,0,1,0,0,0,3,0.052,1000
1,1,1,0,0,0,0,3,0.991,1000
0,0,0,1,1,1,1,4,0.008,1000
0,0,1,0,1,1,1,4,0.014,1000
0,0,1,1,0,1,1,4,0.053,1000
0,0,1,1,1,0,1,4,0.347,1000
0,0,1,1,1,1,0,4,0.002,1000
0,1,0,0,1,1,1,4,0.0,1000
0,1,0,1,0,1,1,4,0.002,1000
0,1,0,1,1,0,1,4,0.008,1000
0,1,0,1,1,1,0,4,0.001,1000
0,1,1,0,0,1,1,4,0.015,1000
0,1,1,0,1,0,1,4,0.127,1000
0,1,1,0,1,1,0,4,0.0,1000
0,1,1,1,0,0,1,4,0.341,1000
0,1,1,1,0,1,0,4,0.002,1000
0,1,1,1,1,0,0,4,0.236,1000
1,0,0,0,1,1,1,4,0.0,1000
1,0,0,1,0,1,1,4,0.002,1000
1,0,0,1,1,0,1,4,0.0,1000
1,0,0,1,1,1,0,4,0.0,1000
1,0,1,0,0,1,1,4,0.002,1000
1,0,1,0,1,0,1,4,0.0,1000
1,0,1,0,1,1,0,4,0.0,1000
1,0,1,1,0,0,1,4,0.0,1000
1,0,1,1,0,1,0,4,0.0,1000
1,0,1,1,1,0,0,4,0.703,1000
1,1,0,0,0,1,1,4,0.0,1000
1,1,0,0,1,0,1,4,0.0,1000
1,1,0,0,1,1,0,4,0.0,1000
1,1,0,1,0,0,1,4,0.0,1000
1,1,0,1,0,1,0,4,0.0,1000
1,1,0,1,1,0,0,4,0.004,1000
1,1,1,0,0,0,1,4,0.0,1000
1,1,1,0,0,1,0,4,0.0,1000
1,1,1,0,1,0,0,4,0.045,1000
1,1,1,1,0,0,0,4,0.99,1000
0,0,1,1,1,1,1,5,0.053,1000
0,1,0,1,1,1,1,5,0.001,1000
0,1,1,0,1,1,1,5,0.004,1000
0,1,1,1,0,1,1,5,0.032,1000
0,1,1,1,1,0,1,5,0.163,1000
0,1,1,1,1,1,0,5,0.001,1000
1,0,0,1,1,1,1,5,0.001,1000
1,0,1,0,1,1,1,5,0.001,1000
1,0,1,1,0,1,1,5,0.017,1000
1,0,1,1,1,0,1,5,0.0,1000
1,0,1,1,1,1,0,5,0.0,1000
1,1,0,0,1,1,1,5,0.0,1000
1,1,0,1,0,1,1,5,0.001,1000
1,1,0,1,1,0,1,5,0.0,1000
1,1,0,1,1,1,0,5,0.0,1000
1,1,1,0,0,1,1,5,0.002,1000
1,1,1,0,1,0,1,5,0.0,1000
1,1,1,0,1,1,0,5,0.0,1000
1,1,1,1,0,0,1,5,0.0,1000
1,1,1,1,0,1,0,5,0.0,1000
1,1,1,1,1,0,0,5,0.043,1000
0,1,1,1,1,1,1,6,0.02,1000
1,0,1,1,1,1,1,6,0.017,1000
1,1,0,1,1,1,1,6,0.0,1000
1,1,1,0,1,1,1,6,0.001,1000
1,1,1,1,0,1,1,6,0.006,1000
1,1,1,1,1,0,1,6,0.0,1000
1,1,1,1,1,1,0,6,0.0,1000
1,1,1,1,1,1,1,7,0.004,1000
