AIR,MASS,HOLD,RESPONSE,DENIAL,RISK,n_swapped,p,n
0,0,0,0,0,0,0,0.2425,400
0,0,0,0,0,1,1,0.2425,400
0,0,0,0,1,0,1,0.2425,400
0,0,0,1,0,0,1,0.135,400
0,0,1,0,0,0,1,0.065,400
0,1,0,0,0,0,1,0.0475,400
1,0,0,0,0,0,1,0.05,400
0,0,0,0,1,1,2,0.2425,400
0,0,0,1,0,1,2,0.135,400
0,0,0,1,1,0,2,0.135,400
0,0,1,0,0,1,2,0.065,400
0,0,1,0,1,0,2,0.065,400
0,0,1,1,0,0,2,0.03,400
0,1,0,0,0,1,2,0.0475,400
0,1,0,0,1,0,2,0.0475,400
0,1,0,1,0,0,2,0.015,400
0,1,1,0,0,0,2,0.0375,400
1,0,0,0,0,1,2,0.05,400
1,0,0,0,1,0,2,0.05,400
1,0,0,1,0,0,2,0.015,400
1,0,1,0,0,0,2,0.04,400
1,1,0,0,0,0,2,0.0125,400
0,0,0,1,1,1,3,0.135,400
0,0,1,0,1,1,3,0.065,400
0,0,1,1,0,1,3,0.03,400
0,0,1,1,1,0,3,0.03,400
0,1,0,0,1,1,3,0.0475,400
0,1,0,1,0,1,3,0.015,400
0,1,0,1,1,0,3,0.015,400
0,1,1,0,0,1,3,0.0375,400
0,1,1,0,1,0,3,0.0375,400
0,1,1,1,0,0,3,0.01,400
1,0,0,0,1,1,3,0.05,400
1,0,0,1,0,1,3,0.015,400
1,0,0,1,1,0,3,0.015,400
1,0,1,0,0,1,3,0.04,400
1,0,1,0,1,0,3,0.04,400
1,0,1,1,0,0,3,0.01,400
1,1,0,0,0,1,3,0.0125,400
1,1,0,0,1,0,3,0.0125,400
1,1,0,1,0,0,3,0.0,400
1,1,1,0,0,0,3,0.0225,400
0,0,1,1,1,1,4,0.03,400
0,1,0,1,1,1,4,0.015,400
0,1,1,0,1,1,4,0.0375,400
0,1,1,1,0,1,4,0.01,400
0,1,1,1,1,0,4,0.01,400
1,0,0,1,1,1,4,0.015,400
1,0,1,0,1,1,4,0.04,400
1,0,1,1,0,1,4,0.01,400
1,0,1,1,1,0,4,0.01,400
1,1,0,0,1,1,4,0.0125,400
1,1,0,1,0,1,4,0.0,400
1,1,0,1,1,0,4,0.0,400
1,1,1,0,0,1,4,0.0225,400
1,1,1,0,1,0,4,0.0225,400
1,1,1,1,0,0,4,0.01,400
0,1,1,1,1,1,5,0.01,400
1,0,1,1,1,1,5,0.01,400
1,1,0,1,1,1,5,0.0,400
1,1,1,0,1,1,5,0.0225,400
1,1,1,1,0,1,5,0.01,400
1,1,1,1,1,0,5,0.01,400
1,1,1,1,1,1,6,0.01,400
