AIR,MASS,HOLD,COMMAND,RESPONSE,DENIAL,RISK,n_swapped,p,n
0,0,0,0,0,0,0,0,0.662,1000
0,0,0,0,0,0,1,1,0.662,1000
0,0,0,0,0,1,0,1,0.662,1000
0,0,0,0,1,0,0,1,0.443,1000
0,0,0,1,0,0,0,1,0.645,1000
0,0,1,0,0,0,0,1,0.048,1000
0,1,0,0,0,0,0,1,0.347,1000
1,0,0,0,0,0,0,1,0.476,1000
0,0,0,0,0,1,1,2,0.662,1000
0,0,0,0,1,0,1,2,0.443,1000
0,0,0,0,1,1,0,2,0.443,1000
0,0,0,1,0,0,1,2,0.645,1000
0,0,0,1,0,1,0,2,0.645,1000
0,0,0,1,1,0,0,2,0.492,1000
0,0,1,0,0,0,1,2,0.048,1000
0,0,1,0,0,1,0,2,0.048,1000
0,0,1,0,1,0,0,2,0.022,1000
0,0,1,1,0,0,0,2,0.088,1000
0,1,0,0,0,0,1,2,0.347,1000
0,1,0,0,0,1,0,2,0.347,1000
0,1,0,0,1,0,0,2,0.151,1000
0,1,0,1,0,0,0,2,0.339,1000
0,1,1,0,0,0,0,2,0.008,1000
1,0,0,0,0,0,1,2,0.476,1000
1,0,0,0,0,1,0,2,0.476,1000
1,0,0,0,1,0,0,2,0.232,1000
1,0,0,1,0,0,0,2,0.438,1000
1,0,1,0,0,0,0,2,0.016,1000
1,1,0,0,0,0,0,2,0.187,1000
0,0,0,0,1,1,1,3,0.443,1000
0,0,0,1,0,1,1,3,0.645,1000
0,0,0,1,1,0,1,3,0.492,1000
0,0,0,1,1,1,0,3,0.492,1000
0,0,1,0,0,1,1,3,0.048,1000
0,0,1,0,1,0,1,3,0.022,1000
0,0,1,0,1,1,0,3,0.022,1000
0,0,1,1,0,0,1,3,0.088,1000
0,0,1,1,0,1,0,3,0.088,1000
0,0,1,1,1,0,0,3,0.051,1000
0,1,0,0,0,1,1,3,0.347,1000
0,1,0,0,1,0,1,3,0.151,1000
0,1,0,0,1,1,0,3,0.151,1000
0,1,0,1,0,0,1,3,0.339,1000
0,1,0,1,0,1,0,3,0.339,1000
0,1,0,1,1,0,0,3,0.192,1000
0,1,1,0,0,0,1,3,0.008,1000
0,1,1,0,0,1,0,3,0.008,1000
0,1,1,0,1,0,0,3,0.001,1000
0,1,1,1,0,0,0,3,0.039,1000
1,0,0,0,0,1,1,3,0.476,1000
1,0,0,0,1,0,1,3,0.232,1000
1,0,0,0,1,1,0,3,0.232,1000
1,0,0,1,0,0,1,3,0.438,1000
1,0,0,1,0,1,0,3,0.438,1000
1,0,0,1,1,0,0,3,0.257,1000
1,0,1,0,0,0,1,3,0.016,1000
1,0,1,0,0,1,0,3,0.016,1000
1,0,1,0,1,0,0,3,0.005,1000
1,0,1,1,0,0,0,3,0.051,1000
1,1,0,0,0,0,1,3,0.187,1000
1,1,0,0,0,1,0,3,0.187,1000
1,1,0,0,1,0,0,3,0.049,1000
1,1,0,1,0,0,0,3,0.238,1000
1,1,1,0,0,0,0,3,0.005,1000
0,0,0,1,1,1,1,4,0.492,1000
0,0,1,0,1,1,1,4,0.022,1000
0,0,1,1,0,1,1,4,0.088,1000
0,0,1,1,1,0,1,4,0.051,1000
0,0,1,1,1,1,0,4,0.051,1000
0,1,0,0,1,1,1,4,0.151,1000
0,1,0,1,0,1,1,4,0.339,1000
0,1,0,1,1,0,1,4,0.192,1000
0,1,0,1,1,1,0,4,0.192,1000
