AIR,MASS,HOLD,COMMAND,RESPONSE,DENIAL,RISK,n_swapped,p,n
0,0,0,0,0,0,0,0,0.2425,400
0,0,0,0,0,0,1,1,0.245,400
0,0,0,0,0,1,0,1,0.385,400
0,0,0,0,1,0,0,1,0.1575,400
0,0,0,1,0,0,0,1,0.3975,400
0,0,1,0,0,0,0,1,0.6,400
0,1,0,0,0,0,0,1,0.005,400
1,0,0,0,0,0,0,1,0.105,400
0,0,0,0,0,1,1,2,0.3875,400
0,0,0,0,1,0,1,2,0.1575,400
0,0,0,0,1,1,0,2,0.29,400
0,0,0,1,0,0,1,2,0.4,400
0,0,0,1,0,1,0,2,0.5475,400
0,0,0,1,1,0,0,2,0.3325,400
0,0,1,0,0,0,1,2,0.6025,400
0,0,1,0,0,1,0,2,0.6975,400
0,0,1,0,1,0,0,2,0.455,400
0,0,1,1,0,0,0,2,0.7575,400
0,1,0,0,0,0,1,2,0.005,400
0,1,0,0,0,1,0,2,0.005,400
0,1,0,0,1,0,0,2,0.0,400
0,1,0,1,0,0,0,2,0.09,400
0,1,1,0,0,0,0,2,0.01,400
1,0,0,0,0,0,1,2,0.1075,400
1,0,0,0,0,1,0,2,0.2575,400
1,0,0,0,1,0,0,2,0.055,400
1,0,0,1,0,0,0,2,0.2525,400
1,0,1,0,0,0,0,2,0.44,400
1,1,0,0,0,0,0,2,0.0025,400
0,0,0,0,1,1,1,3,0.295,400
0,0,0,1,0,1,1,3,0.55,400
0,0,0,1,1,0,1,3,0.3325,400
0,0,0,1,1,1,0,3,0.48,400
0,0,1,0,0,1,1,3,0.6975,400
0,0,1,0,1,0,1,3,0.4675,400
0,0,1,0,1,1,0,3,0.5575,400
0,0,1,1,0,0,1,3,0.76,400
0,0,1,1,0,1,0,3,0.8475,400
0,0,1,1,1,0,0,3,0.6775,400
0,1,0,0,0,1,1,3,0.005,400
0,1,0,0,1,0,1,3,0.0,400
0,1,0,0,1,1,0,3,0.0,400
0,1,0,1,0,0,1,3,0.09,400
0,1,0,1,0,1,0,3,0.11,400
0,1,0,1,1,0,0,3,0.0075,400
0,1,1,0,0,0,1,3,0.01,400
0,1,1,0,0,1,0,3,0.01,400
0,1,1,0,1,0,0,3,0.0,400
0,1,1,1,0,0,0,3,0.16,400
1,0,0,0,0,1,1,3,0.2625,400
1,0,0,0,1,0,1,3,0.0575,400
1,0,0,0,1,1,0,3,0.14,400
1,0,0,1,0,0,1,3,0.255,400
1,0,0,1,0,1,0,3,0.405,400
1,0,0,1,1,0,0,3,0.145,400
1,0,1,0,0,0,1,3,0.445,400
1,0,1,0,0,1,0,3,0.6175,400
1,0,1,0,1,0,0,3,0.225,400
1,0,1,1,0,0,0,3,0.6175,400
1,1,0,0,0,0,1,3,0.0025,400
1,1,0,0,0,1,0,3,0.0025,400
1,1,0,0,1,0,0,3,0.0,400
1,1,0,1,0,0,0,3,0.0725,400
1,1,1,0,0,0,0,3,0.0075,400
0,0,0,1,1,1,1,4,0.4875,400
0,0,1,0,1,1,1,4,0.5725,400
0,0,1,1,0,1,1,4,0.8475,400
0,0,1,1,1,0,1,4,0.69,400
0,0,1,1,1,1,0,4,0.795,400
0,1,0,0,1,1,1,4,0.0,400
