AIR,MASS,HOLD,COMMAND,RESPONSE,DENIAL,RISK,n_swapped,p,n
0,0,0,0,0,0,0,0,0.662,1000
0,0,0,0,0,0,1,1,0.674,1000
0,0,0,0,0,1,0,1,0.698,1000
0,0,0,0,1,0,0,1,0.295,1000
0,0,0,1,0,0,0,1,0.645,1000
0,0,1,0,0,0,0,1,0.802,1000
0,1,0,0,0,0,0,1,0.008,1000
1,0,0,0,0,0,0,1,0.533,1000
0,0,0,0,0,1,1,2,0.709,1000
0,0,0,0,1,0,1,2,0.335,1000
0,0,0,0,1,1,0,2,0.324,1000
0,0,0,1,0,0,1,2,0.693,1000
0,0,0,1,0,1,0,2,0.707,1000
0,0,0,1,1,0,0,2,0.456,1000
0,0,1,0,0,0,1,2,0.808,1000
0,0,1,0,0,1,0,2,0.823,1000
0,0,1,0,1,0,0,2,0.443,1000
0,0,1,1,0,0,0,2,0.852,1000
0,1,0,0,0,0,1,2,0.008,1000
0,1,0,0,0,1,0,2,0.013,1000
0,1,0,0,1,0,0,2,0.0,1000
0,1,0,1,0,0,0,2,0.086,1000
0,1,1,0,0,0,0,2,0.054,1000
1,0,0,0,0,0,1,2,0.555,1000
1,0,0,0,0,1,0,2,0.611,1000
1,0,0,0,1,0,0,2,0.144,1000
1,0,0,1,0,0,0,2,0.489,1000
1,0,1,0,0,0,0,2,0.752,1000
1,1,0,0,0,0,0,2,0.003,1000
0,0,0,0,1,1,1,3,0.372,1000
0,0,0,1,0,1,1,3,0.762,1000
0,0,0,1,1,0,1,3,0.492,1000
0,0,0,1,1,1,0,3,0.536,1000
0,0,1,0,0,1,1,3,0.827,1000
0,0,1,0,1,0,1,3,0.503,1000
0,0,1,0,1,1,0,3,0.465,1000
0,0,1,1,0,0,1,3,0.882,1000
0,0,1,1,0,1,0,3,0.886,1000
0,0,1,1,1,0,0,3,0.707,1000
0,1,0,0,0,1,1,3,0.013,1000
0,1,0,0,1,0,1,3,0.0,1000
0,1,0,0,1,1,0,3,0.0,1000
0,1,0,1,0,0,1,3,0.086,1000
0,1,0,1,0,1,0,3,0.098,1000
0,1,0,1,1,0,0,3,0.009,1000
0,1,1,0,0,0,1,3,0.056,1000
0,1,1,0,0,1,0,3,0.065,1000
0,1,1,0,1,0,0,3,0.0,1000
0,1,1,1,0,0,0,3,0.148,1000
1,0,0,0,0,1,1,3,0.638,1000
1,0,0,0,1,0,1,3,0.172,1000
1,0,0,0,1,1,0,3,0.174,1000
1,0,0,1,0,0,1,3,0.56,1000
1,0,0,1,0,1,0,3,0.579,1000
1,0,0,1,1,0,0,3,0.27,1000
1,0,1,0,0,0,1,3,0.769,1000
1,0,1,0,0,1,0,3,0.773,1000
1,0,1,0,1,0,0,3,0.278,1000
1,0,1,1,0,0,0,3,0.762,1000
1,1,0,0,0,0,1,3,0.003,1000
1,1,0,0,0,1,0,3,0.009,1000
1,1,0,0,1,0,0,3,0.0,1000
1,1,0,1,0,0,0,3,0.071,1000
1,1,1,0,0,0,0,3,0.034,1000
0,0,0,1,1,1,1,4,0.569,1000
0,0,1,0,1,1,1,4,0.534,1000
0,0,1,1,0,1,1,4,0.911,1000
0,0,1,1,1,0,1,4,0.751,1000
0,0,1,1,1,1,0,4,0.764,1000
0,1,0,0,1,1,1,4,0.0,1000
0,1,0,1,0,1,1,4,0.098,1000
0,1,0,1,1,0,1,4,0.052,1000
0,1,0,1,1,1,0,4,0.009,1000
0,1,1,0,0,1,1,4,0.068,1000
0,1,1,0,1,0,1,4,0.0,1000
0,1,1,0,1,1,0,4,0.0,1000
0,1,1,1,0,0,1,4,0.149,1000
0,1,1,1,0,1,0,4,0.161,1000
0,1,1,1,1,0,0,4,0.01,1000
1,0,0,0,1,1,1,4,0.207,1000
1,0,0,1,0,1,1,4,0.653,1000
1,0,0,1,1,0,1,4,0.31,1000
1,0,0,1,1,1,0,4,0.354,1000
1,0,1,0,0,1,1,4,0.791,1000
1,0,1,0,1,0,1,4,0.325,1000
1,0,1,0,1,1,0,4,0.301,1000
1,0,1,1,0,0,1,4,0.812,1000
1,0,1,1,0,1,0,4,0.827,1000
1,0,1,1,1,0,0,4,0.49,1000
1,1,0,0,0,1,1,4,0.009,1000
1,1,0,0,1,0,1,4,0.0,1000
1,1,0,0,1,1,0,4,0.0,1000
1,1,0,1,0,0,1,4,0.071,1000
1,1,0,1,0,1,0,4,0.092,1000
1,1,0,1,1,0,0,4,0.004,1000
1,1,1,0,0,0,1,4,0.035,1000
1,1,1,0,0,1,0,4,0.049,1000
1,1,1,0,1,0,0,4,0.0,1000
1,1,1,1,0,0,0,4,0.134,1000
0,0,1,1,1,1,1,5,0.801,1000
0,1,0,1,1,1,1,5,0.058,1000
0,1,1,0,1,1,1,5,0.0,1000
0,1,1,1,0,1,1,5,0.161,1000
0,1,1,1,1,0,1,5,0.081,1000
0,1,1,1,1,1,0,5,0.011,1000
1,0,0,1,1,1,1,5,0.395,1000
