AIR,MASS,HOLD,COMMAND,RESPONSE,DENIAL,RISK,n_swapped,p,n
0,0,0,0,0,0,0,0,0.016,1000
0,0,0,0,0,0,1,1,0.0,1000
0,0,0,0,0,1,0,1,0.001,1000
0,0,0,0,1,0,0,1,0.008,1000
0,0,0,1,0,0,0,1,0.016,1000
0,0,1,0,0,0,0,1,0.826,1000
0,1,0,0,0,0,0,1,0.003,1000
1,0,0,0,0,0,0,1,0.011,1000
0,0,0,0,0,1,1,2,0.0,1000
0,0,0,0,1,0,1,2,0.0,1000
0,0,0,0,1,1,0,2,0.0,1000
0,0,0,1,0,0,1,2,0.0,1000
0,0,0,1,0,1,0,2,0.001,1000
0,0,0,1,1,0,0,2,0.008,1000
0,0,1,0,0,0,1,2,0.01,1000
0,0,1,0,0,1,0,2,0.002,1000
0,0,1,0,1,0,0,2,0.492,1000
0,0,1,1,0,0,0,2,0.826,1000
0,1,0,0,0,0,1,2,0.0,1000
0,1,0,0,0,1,0,2,0.0,1000
0,1,0,0,1,0,0,2,0.001,1000
0,1,0,1,0,0,0,2,0.003,1000
0,1,1,0,0,0,0,2,0.426,1000
1,0,0,0,0,0,1,2,0.0,1000
1,0,0,0,0,1,0,2,0.001,1000
1,0,0,0,1,0,0,2,0.006,1000
1,0,0,1,0,0,0,2,0.011,1000
1,0,1,0,0,0,0,2,0.699,1000
1,1,0,0,0,0,0,2,0.002,1000
0,0,0,0,1,1,1,3,0.0,1000
0,0,0,1,0,1,1,3,0.0,1000
0,0,0,1,1,0,1,3,0.0,1000
0,0,0,1,1,1,0,3,0.0,1000
0,0,1,0,0,1,1,3,0.001,1000
0,0,1,0,1,0,1,3,0.007,1000
0,0,1,0,1,1,0,3,0.0,1000
0,0,1,1,0,0,1,3,0.01,1000
0,0,1,1,0,1,0,3,0.002,1000
0,0,1,1,1,0,0,3,0.492,1000
0,1,0,0,0,1,1,3,0.0,1000
0,1,0,0,1,0,1,3,0.0,1000
0,1,0,0,1,1,0,3,0.0,1000
0,1,0,1,0,0,1,3,0.0,1000
0,1,0,1,0,1,0,3,0.0,1000
0,1,0,1,1,0,0,3,0.001,1000
0,1,1,0,0,0,1,3,0.005,1000
0,1,1,0,0,1,0,3,0.002,1000
0,1,1,0,1,0,0,3,0.054,1000
0,1,1,1,0,0,0,3,0.426,1000
1,0,0,0,0,1,1,3,0.0,1000
1,0,0,0,1,0,1,3,0.0,1000
1,0,0,0,1,1,0,3,0.0,1000
1,0,0,1,0,0,1,3,0.0,1000
1,0,0,1,0,1,0,3,0.001,1000
1,0,0,1,1,0,0,3,0.006,1000
1,0,1,0,0,0,1,3,0.0,1000
1,0,1,0,0,1,0,3,0.001,1000
1,0,1,0,1,0,0,3,0.392,1000
1,0,1,1,0,0,0,3,0.699,1000
1,1,0,0,0,0,1,3,0.0,1000
1,1,0,0,0,1,0,3,0.0,1000
1,1,0,0,1,0,0,3,0.001,1000
1,1,0,1,0,0,0,3,0.002,1000
1,1,1,0,0,0,0,3,0.306,1000
0,0,0,1,1,1,1,4,0.0,1000
0,0,1,0,1,1,1,4,0.001,1000
0,0,1,1,0,1,1,4,0.001,1000
0,0,1,1,1,0,1,4,0.007,1000
0,0,1,1,1,1,0,4,0.0,1000
0,1,0,0,1,1,1,4,0.0,1000
0,1,0,1,0,1,1,4,0.0,1000
0,1,0,1,1,0,1,4,0.0,1000
0,1,0,1,1,1,0,4,0.0,1000
0,1,1,0,0,1,1,4,0.0,1000
0,1,1,0,1,0,1,4,0.001,1000
0,1,1,0,1,1,0,4,0.0,1000
