AIR,MASS,HOLD,RESPONSE,DENIAL,RISK,n_swapped,p,n
0,0,0,0,0,0,0,0.016,1000
0,0,0,0,0,1,1,0.016,1000
0,0,0,0,1,0,1,0.016,1000
0,0,0,1,0,0,1,0.023,1000
0,0,1,0,0,0,1,0.18,1000
0,1,0,0,0,0,1,0.03,1000
1,0,0,0,0,0,1,0.031,1000
0,0,0,0,1,1,2,0.016,1000
0,0,0,1,0,1,2,0.023,1000
0,0,0,1,1,0,2,0.023,1000
0,0,1,0,0,1,2,0.18,1000
0,0,1,0,1,0,2,0.18,1000
0,0,1,1,0,0,2,0.335,1000
0,1,0,0,0,1,2,0.03,1000
0,1,0,0,1,0,2,0.03,1000
0,1,0,1,0,0,2,0.044,1000
0,1,1,0,0,0,2,0.406,1000
1,0,0,0,0,1,2,0.031,1000
1,0,0,0,1,0,2,0.031,1000
1,0,0,1,0,0,2,0.037,1000
1,0,1,0,0,0,2,0.363,1000
1,1,0,0,0,0,2,0.064,1000
0,0,0,1,1,1,3,0.023,1000
0,0,1,0,1,1,3,0.18,1000
0,0,1,1,0,1,3,0.335,1000
0,0,1,1,1,0,3,0.335,1000
0,1,0,0,1,1,3,0.03,1000
0,1,0,1,0,1,3,0.044,1000
0,1,0,1,1,0,3,0.044,1000
0,1,1,0,0,1,3,0.406,1000
0,1,1,0,1,0,3,0.406,1000
0,1,1,1,0,0,3,0.542,1000
1,0,0,0,1,1,3,0.031,1000
1,0,0,1,0,1,3,0.037,1000
1,0,0,1,1,0,3,0.037,1000
1,0,1,0,0,1,3,0.363,1000
1,0,1,0,1,0,3,0.363,1000
1,0,1,1,0,0,3,0.408,1000
1,1,0,0,0,1,3,0.064,1000
1,1,0,0,1,0,3,0.064,1000
1,1,0,1,0,0,3,0.071,1000
1,1,1,0,0,0,3,0.634,1000
0,0,1,1,1,1,4,0.335,1000
0,1,0,1,1,1,4,0.044,1000
0,1,1,0,1,1,4,0.406,1000
0,1,1,1,0,1,4,0.542,1000
0,1,1,1,1,0,4,0.542,1000
1,0,0,1,1,1,4,0.037,1000
1,0,1,0,1,1,4,0.363,1000
1,0,1,1,0,1,4,0.408,1000
1,0,1,1,1,0,4,0.408,1000
1,1,0,0,1,1,4,0.064,1000
1,1,0,1,0,1,4,0.071,1000
1,1,0,1,1,0,4,0.071,1000
1,1,1,0,0,1,4,0.634,1000
1,1,1,0,1,0,4,0.634,1000
1,1,1,1,0,0,4,0.643,1000
0,1,1,1,1,1,5,0.542,1000
1,0,1,1,1,1,5,0.408,1000
1,1,0,1,1,1,5,0.071,1000
1,1,1,0,1,1,5,0.634,1000
1,1,1,1,0,1,5,0.643,1000
1,1,1,1,1,0,5,0.643,1000
1,1,1,1,1,1,6,0.643,1000
