AIR,MASS,HOLD,RESPONSE,DENIAL,RISK,n_swapped,p,n
0,0,0,0,0,0,0,0.0175,400
0,0,0,0,0,1,1,0.02,400
0,0,0,0,1,0,1,0.02,400
0,0,0,1,0,0,1,0.0075,400
0,0,1,0,0,0,1,0.1575,400
0,1,0,0,0,0,1,0.005,400
1,0,0,0,0,0,1,0.02,400
0,0,0,0,1,1,2,0.0275,400
0,0,0,1,0,1,2,0.0075,400
0,0,0,1,1,0,2,0.0075,400
0,0,1,0,0,1,2,0.255,400
0,0,1,0,1,0,2,0.2375,400
0,0,1,1,0,0,2,0.0675,400
0,1,0,0,0,1,2,0.015,400
0,1,0,0,1,0,2,0.0075,400
0,1,0,1,0,0,2,0.0,400
0,1,1,0,0,0,2,0.0225,400
1,0,0,0,0,1,2,0.0225,400
1,0,0,0,1,0,2,0.0225,400
1,0,0,1,0,0,2,0.0075,400
1,0,1,0,0,0,2,0.2,400
1,1,0,0,0,0,2,0.005,400
0,0,0,1,1,1,3,0.0075,400
0,0,1,0,1,1,3,0.38,400
0,0,1,1,0,1,3,0.0775,400
0,0,1,1,1,0,3,0.1125,400
0,1,0,0,1,1,3,0.0175,400
0,1,0,1,0,1,3,0.0,400
0,1,0,1,1,0,3,0.0,400
0,1,1,0,0,1,3,0.0925,400
0,1,1,0,1,0,3,0.025,400
0,1,1,1,0,0,3,0.0025,400
1,0,0,0,1,1,3,0.0275,400
1,0,0,1,0,1,3,0.0075,400
1,0,0,1,1,0,3,0.0075,400
1,0,1,0,0,1,3,0.28,400
1,0,1,0,1,0,3,0.3,400
1,0,1,1,0,0,3,0.085,400
1,1,0,0,0,1,3,0.015,400
1,1,0,0,1,0,3,0.0075,400
1,1,0,1,0,0,3,0.0,400
1,1,1,0,0,0,3,0.0325,400
0,0,1,1,1,1,4,0.13,400
0,1,0,1,1,1,4,0.0,400
0,1,1,0,1,1,4,0.1,400
0,1,1,1,0,1,4,0.0025,400
0,1,1,1,1,0,4,0.0025,400
1,0,0,1,1,1,4,0.0075,400
1,0,1,0,1,1,4,0.4025,400
1,0,1,1,0,1,4,0.09,400
1,0,1,1,1,0,4,0.135,400
1,1,0,0,1,1,4,0.0175,400
1,1,0,1,0,1,4,0.0,400
1,1,0,1,1,0,4,0.0,400
1,1,1,0,0,1,4,0.0925,400
1,1,1,0,1,0,4,0.035,400
1,1,1,1,0,0,4,0.0025,400
0,1,1,1,1,1,5,0.0025,400
1,0,1,1,1,1,5,0.145,400
1,1,0,1,1,1,5,0.0,400
1,1,1,0,1,1,5,0.1,400
1,1,1,1,0,1,5,0.0025,400
1,1,1,1,1,0,5,0.0025,400
1,1,1,1,1,1,6,0.0025,400
