AIR,MASS,HOLD,RESPONSE,DENIAL,RISK,n_swapped,p,n
0,0,0,0,0,0,0,0.016,1000
0,0,0,0,0,1,1,0.021,1000
0,0,0,0,1,0,1,0.021,1000
0,0,0,1,0,0,1,0.008,1000
0,0,1,0,0,0,1,0.287,1000
0,1,0,0,0,0,1,0.004,1000
1,0,0,0,0,0,1,0.019,1000
0,0,0,0,1,1,2,0.029,1000
0,0,0,1,0,1,2,0.009,1000
0,0,0,1,1,0,2,0.015,1000
0,0,1,0,0,1,2,0.388,1000
0,0,1,0,1,0,2,0.343,1000
0,0,1,1,0,0,2,0.156,1000
0,1,0,0,0,1,2,0.008,1000
0,1,0,0,1,0,2,0.004,1000
0,1,0,1,0,0,2,0.0,1000
0,1,1,0,0,0,2,0.03,1000
1,0,0,0,0,1,2,0.026,1000
1,0,0,0,1,0,2,0.024,1000
1,0,0,1,0,0,2,0.01,1000
1,0,1,0,0,0,2,0.325,1000
1,1,0,0,0,0,2,0.004,1000
0,0,0,1,1,1,3,0.018,1000
0,0,1,0,1,1,3,0.471,1000
0,0,1,1,0,1,3,0.179,1000
0,0,1,1,1,0,3,0.205,1000
0,1,0,0,1,1,3,0.008,1000
0,1,0,1,0,1,3,0.0,1000
0,1,0,1,1,0,3,0.0,1000
0,1,1,0,0,1,3,0.093,1000
0,1,1,0,1,0,3,0.034,1000
0,1,1,1,0,0,3,0.004,1000
1,0,0,0,1,1,3,0.033,1000
1,0,0,1,0,1,3,0.011,1000
1,0,0,1,1,0,3,0.017,1000
1,0,1,0,0,1,3,0.404,1000
1,0,1,0,1,0,3,0.383,1000
1,0,1,1,0,0,3,0.175,1000
1,1,0,0,0,1,3,0.008,1000
1,1,0,0,1,0,3,0.004,1000
1,1,0,1,0,0,3,0.0,1000
1,1,1,0,0,0,3,0.033,1000
0,0,1,1,1,1,4,0.24,1000
0,1,0,1,1,1,4,0.0,1000
0,1,1,0,1,1,4,0.111,1000
0,1,1,1,0,1,4,0.006,1000
0,1,1,1,1,0,4,0.003,1000
1,0,0,1,1,1,4,0.019,1000
1,0,1,0,1,1,4,0.483,1000
1,0,1,1,0,1,4,0.191,1000
1,0,1,1,1,0,4,0.236,1000
1,1,0,0,1,1,4,0.008,1000
1,1,0,1,0,1,4,0.0,1000
1,1,0,1,1,0,4,0.0,1000
1,1,1,0,0,1,4,0.095,1000
1,1,1,0,1,0,4,0.036,1000
1,1,1,1,0,0,4,0.005,1000
0,1,1,1,1,1,5,0.006,1000
1,0,1,1,1,1,5,0.259,1000
1,1,0,1,1,1,5,0.0,1000
1,1,1,0,1,1,5,0.106,1000
1,1,1,1,0,1,5,0.007,1000
1,1,1,1,1,0,5,0.004,1000
1,1,1,1,1,1,6,0.007,1000
