AIR,MASS,HOLD,RESPONSE,DENIAL,RISK,n_swapped,p,n
0,0,0,0,0,0,0,0.0175,400
0,0,0,0,0,1,1,0.0175,400
0,0,0,0,1,0,1,0.005,400
0,0,0,1,0,0,1,0.0175,400
0,0,1,0,0,0,1,0.005,400
0,1,0,0,0,0,1,0.0775,400
1,0,0,0,0,0,1,0.045,400
0,0,0,0,1,1,2,0.005,400
0,0,0,1,0,1,2,0.0175,400
0,0,0,1,1,0,2,0.005,400
0,0,1,0,0,1,2,0.005,400
0,0,1,0,1,0,2,0.005,400
0,0,1,1,0,0,2,0.005,400
0,1,0,0,0,1,2,0.0725,400
0,1,0,0,1,0,2,0.015,400
0,1,0,1,0,0,2,0.0775,400
0,1,1,0,0,0,2,0.005,400
1,0,0,0,0,1,2,0.0225,400
1,0,0,0,1,0,2,0.0075,400
1,0,0,1,0,0,2,0.045,400
1,0,1,0,0,0,2,0.0175,400
1,1,0,0,0,0,2,0.14,400
0,0,0,1,1,1,3,0.005,400
0,0,1,0,1,1,3,0.005,400
0,0,1,1,0,1,3,0.005,400
0,0,1,1,1,0,3,0.005,400
0,1,0,0,1,1,3,0.0125,400
0,1,0,1,0,1,3,0.0725,400
0,1,0,1,1,0,3,0.015,400
0,1,1,0,0,1,3,0.005,400
0,1,1,0,1,0,3,0.005,400
0,1,1,1,0,0,3,0.005,400
1,0,0,0,1,1,3,0.01,400
1,0,0,1,0,1,3,0.0225,400
1,0,0,1,1,0,3,0.0075,400
1,0,1,0,0,1,3,0.0075,400
1,0,1,0,1,0,3,0.005,400
1,0,1,1,0,0,3,0.0175,400
1,1,0,0,0,1,3,0.0875,400
1,1,0,0,1,0,3,0.025,400
1,1,0,1,0,0,3,0.14,400
1,1,1,0,0,0,3,0.015,400
0,0,1,1,1,1,4,0.005,400
0,1,0,1,1,1,4,0.0125,400
0,1,1,0,1,1,4,0.005,400
0,1,1,1,0,1,4,0.005,400
0,1,1,1,1,0,4,0.005,400
1,0,0,1,1,1,4,0.01,400
1,0,1,0,1,1,4,0.005,400
1,0,1,1,0,1,4,0.0075,400
1,0,1,1,1,0,4,0.005,400
1,1,0,0,1,1,4,0.025,400
1,1,0,1,0,1,4,0.0875,400
1,1,0,1,1,0,4,0.025,400
1,1,1,0,0,1,4,0.0075,400
1,1,1,0,1,0,4,0.005,400
1,1,1,1,0,0,4,0.015,400
0,1,1,1,1,1,5,0.005,400
1,0,1,1,1,1,5,0.005,400
1,1,0,1,1,1,5,0.025,400
1,1,1,0,1,1,5,0.005,400
1,1,1,1,0,1,5,0.0075,400
1,1,1,1,1,0,5,0.005,400
1,1,1,1,1,1,6,0.005,400
