AIR,MASS,HOLD,RESPONSE,DENIAL,RISK,n_swapped,p,n
0,0,0,0,0,0,0,0.018,1000
0,0,0,0,0,1,1,0.015,1000
0,0,0,0,1,0,1,0.007,1000
0,0,0,1,0,0,1,0.018,1000
0,0,1,0,0,0,1,0.002,1000
0,1,0,0,0,0,1,0.044,1000
1,0,0,0,0,0,1,0.03,1000
0,0,0,0,1,1,2,0.007,1000
0,0,0,1,0,1,2,0.015,1000
0,0,0,1,1,0,2,0.007,1000
0,0,1,0,0,1,2,0.002,1000
0,0,1,0,1,0,2,0.002,1000
0,0,1,1,0,0,2,0.002,1000
0,1,0,0,0,1,2,0.042,1000
0,1,0,0,1,0,2,0.015,1000
0,1,0,1,0,0,2,0.044,1000
0,1,1,0,0,0,2,0.002,1000
1,0,0,0,0,1,2,0.018,1000
1,0,0,0,1,0,2,0.008,1000
1,0,0,1,0,0,2,0.03,1000
1,0,1,0,0,0,2,0.005,1000
1,1,0,0,0,0,2,0.08,1000
0,0,0,1,1,1,3,0.007,1000
0,0,1,0,1,1,3,0.002,1000
0,0,1,1,0,1,3,0.002,1000
0,0,1,1,1,0,3,0.002,1000
0,1,0,0,1,1,3,0.016,1000
0,1,0,1,0,1,3,0.042,1000
0,1,0,1,1,0,3,0.015,1000
0,1,1,0,0,1,3,0.002,1000
0,1,1,0,1,0,3,0.003,1000
0,1,1,1,0,0,3,0.002,1000
1,0,0,0,1,1,3,0.011,1000
1,0,0,1,0,1,3,0.018,1000
1,0,0,1,1,0,3,0.008,1000
1,0,1,0,0,1,3,0.003,1000
1,0,1,0,1,0,3,0.002,1000
1,0,1,1,0,0,3,0.005,1000
1,1,0,0,0,1,3,0.052,1000
1,1,0,0,1,0,3,0.02,1000
1,1,0,1,0,0,3,0.08,1000
1,1,1,0,0,0,3,0.006,1000
0,0,1,1,1,1,4,0.002,1000
0,1,0,1,1,1,4,0.016,1000
0,1,1,0,1,1,4,0.002,1000
0,1,1,1,0,1,4,0.002,1000
0,1,1,1,1,0,4,0.003,1000
1,0,0,1,1,1,4,0.011,1000
1,0,1,0,1,1,4,0.002,1000
1,0,1,1,0,1,4,0.003,1000
1,0,1,1,1,0,4,0.002,1000
1,1,0,0,1,1,4,0.022,1000
1,1,0,1,0,1,4,0.052,1000
1,1,0,1,1,0,4,0.02,1000
1,1,1,0,0,1,4,0.003,1000
1,1,1,0,1,0,4,0.003,1000
1,1,1,1,0,0,4,0.006,1000
0,1,1,1,1,1,5,0.002,1000
1,0,1,1,1,1,5,0.002,1000
1,1,0,1,1,1,5,0.022,1000
1,1,1,0,1,1,5,0.002,1000
1,1,1,1,0,1,5,0.003,1000
1,1,1,1,1,0,5,0.003,1000
1,1,1,1,1,1,6,0.002,1000
