AIR,MASS,HOLD,RESPONSE,DENIAL,RISK,n_swapped,p,n
0,0,0,0,0,0,0,0.0175,400
0,0,0,0,0,1,1,0.0,400
0,0,0,0,1,0,1,0.005,400
0,0,0,1,0,0,1,0.0175,400
0,0,1,0,0,0,1,0.115,400
0,1,0,0,0,0,1,0.0175,400
1,0,0,0,0,0,1,0.0375,400
0,0,0,0,1,1,2,0.0,400
0,0,0,1,0,1,2,0.0,400
0,0,0,1,1,0,2,0.005,400
0,0,1,0,0,1,2,0.0025,400
0,0,1,0,1,0,2,0.01,400
0,0,1,1,0,0,2,0.115,400
0,1,0,0,0,1,2,0.0,400
0,1,0,0,1,0,2,0.005,400
0,1,0,1,0,0,2,0.0175,400
0,1,1,0,0,0,2,0.1525,400
1,0,0,0,0,1,2,0.0175,400
1,0,0,0,1,0,2,0.01,400
1,0,0,1,0,0,2,0.0375,400
1,0,1,0,0,0,2,0.19,400
1,1,0,0,0,0,2,0.035,400
0,0,0,1,1,1,3,0.0,400
0,0,1,0,1,1,3,0.0,400
0,0,1,1,0,1,3,0.0025,400
0,0,1,1,1,0,3,0.01,400
0,1,0,0,1,1,3,0.0,400
0,1,0,1,0,1,3,0.0,400
0,1,0,1,1,0,3,0.005,400
0,1,1,0,0,1,3,0.0075,400
0,1,1,0,1,0,3,0.02,400
0,1,1,1,0,0,3,0.1525,400
1,0,0,0,1,1,3,0.005,400
1,0,0,1,0,1,3,0.0175,400
1,0,0,1,1,0,3,0.01,400
1,0,1,0,0,1,3,0.05,400
1,0,1,0,1,0,3,0.015,400
1,0,1,1,0,0,3,0.19,400
1,1,0,0,0,1,3,0.015,400
1,1,0,0,1,0,3,0.01,400
1,1,0,1,0,0,3,0.035,400
1,1,1,0,0,0,3,0.2375,400
0,0,1,1,1,1,4,0.0,400
0,1,0,1,1,1,4,0.0,400
0,1,1,0,1,1,4,0.0,400
0,1,1,1,0,1,4,0.0075,400
0,1,1,1,1,0,4,0.02,400
1,0,0,1,1,1,4,0.005,400
1,0,1,0,1,1,4,0.0025,400
1,0,1,1,0,1,4,0.05,400
1,0,1,1,1,0,4,0.015,400
1,1,0,0,1,1,4,0.005,400
1,1,0,1,0,1,4,0.015,400
1,1,0,1,1,0,4,0.01,400
1,1,1,0,0,1,4,0.105,400
1,1,1,0,1,0,4,0.03,400
1,1,1,1,0,0,4,0.2375,400
0,1,1,1,1,1,5,0.0,400
1,0,1,1,1,1,5,0.0025,400
1,1,0,1,1,1,5,0.005,400
1,1,1,0,1,1,5,0.005,400
1,1,1,1,0,1,5,0.105,400
1,1,1,1,1,0,5,0.03,400
1,1,1,1,1,1,6,0.005,400
