AIR,MASS,HOLD,RESPONSE,DENIAL,RISK,n_swapped,p,n
0,0,0,0,0,0,0,0.012,1000
0,0,0,0,0,1,1,0.001,1000
0,0,0,0,1,0,1,0.002,1000
0,0,0,1,0,0,1,0.012,1000
0,0,1,0,0,0,1,0.052,1000
0,1,0,0,0,0,1,0.018,1000
1,0,0,0,0,0,1,0.018,1000
0,0,0,0,1,1,2,0.0,1000
0,0,0,1,0,1,2,0.001,1000
0,0,0,1,1,0,2,0.002,1000
0,0,1,0,0,1,2,0.001,1000
0,0,1,0,1,0,2,0.002,1000
0,0,1,1,0,0,2,0.052,1000
0,1,0,0,0,1,2,0.001,1000
0,1,0,0,1,0,2,0.002,1000
0,1,0,1,0,0,2,0.018,1000
0,1,1,0,0,0,2,0.092,1000
1,0,0,0,0,1,2,0.009,1000
1,0,0,0,1,0,2,0.003,1000
1,0,0,1,0,0,2,0.018,1000
1,0,1,0,0,0,2,0.099,1000
1,1,0,0,0,0,2,0.025,1000
0,0,0,1,1,1,3,0.0,1000
0,0,1,0,1,1,3,0.0,1000
0,0,1,1,0,1,3,0.001,1000
0,0,1,1,1,0,3,0.002,1000
0,1,0,0,1,1,3,0.0,1000
0,1,0,1,0,1,3,0.001,1000
0,1,0,1,1,0,3,0.002,1000
0,1,1,0,0,1,3,0.007,1000
0,1,1,0,1,0,3,0.011,1000
0,1,1,1,0,0,3,0.092,1000
1,0,0,0,1,1,3,0.002,1000
1,0,0,1,0,1,3,0.009,1000
1,0,0,1,1,0,3,0.003,1000
1,0,1,0,0,1,3,0.011,1000
1,0,1,0,1,0,3,0.004,1000
1,0,1,1,0,0,3,0.099,1000
1,1,0,0,0,1,3,0.011,1000
1,1,0,0,1,0,3,0.004,1000
1,1,0,1,0,0,3,0.025,1000
1,1,1,0,0,0,3,0.143,1000
0,0,1,1,1,1,4,0.0,1000
0,1,0,1,1,1,4,0.0,1000
0,1,1,0,1,1,4,0.0,1000
0,1,1,1,0,1,4,0.007,1000
0,1,1,1,1,0,4,0.011,1000
1,0,0,1,1,1,4,0.002,1000
1,0,1,0,1,1,4,0.001,1000
1,0,1,1,0,1,4,0.011,1000
1,0,1,1,1,0,4,0.004,1000
1,1,0,0,1,1,4,0.002,1000
1,1,0,1,0,1,4,0.011,1000
1,1,0,1,1,0,4,0.004,1000
1,1,1,0,0,1,4,0.051,1000
1,1,1,0,1,0,4,0.015,1000
1,1,1,1,0,0,4,0.143,1000
0,1,1,1,1,1,5,0.0,1000
1,0,1,1,1,1,5,0.001,1000
1,1,0,1,1,1,5,0.002,1000
1,1,1,0,1,1,5,0.004,1000
1,1,1,1,0,1,5,0.051,1000
1,1,1,1,1,0,5,0.015,1000
1,1,1,1,1,1,6,0.004,1000
